Rank,Name,NPC,Birth,Time,Date,City,Country
1,WHITE Lewis,GBR,2000,0:55.71,9 December 2017,Manchester,Great Britain
2,BRAUNSCHWEIG Malte,GER,2000,0:57.99,18 November 2017,Remscheid,Germany
3,SOLBERG Fredrik,NOR,2001,0:58.39,18 November 2017,Kristiansand,Norway
4,ARBUTHNOTT Christopher,NZL,1998,0:58.46,7 October 2017,Auckland,New Zealand
5,CROUCH Ryan,GBR,1994,0:58.47,3 June 2017,London,Great Britain
6,TADIC Ilija,MNE,1999,0:58.94,12 October 2017,Genova,Italy
7,VAN DEN END Thijs,NED,1993,0:58.95,23 December 2017,Hoofddorp,Netherlands
8,GRACHAT David,POR,1987,0:59.22,30 March 2017,Coimbra,Portugal
9,KARAS Adam,GER,2001,0:59.30,18 November 2017,Remscheid,Germany
10,VAN DUUREN Tim,NED,1998,0:59.85,23 December 2017,Hoofddorp,Netherlands
11,WYLIE Matthew,GBR,1996,0:59.90,12 November 2017,Sheffield,Great Britain
12,HANSEN Kristoffer Voldengen,NOR,1999,1:00.54,18 November 2017,Kristiansand,Norway
13,SCHUTTE Sven,NED,1986,1:00.65,23 December 2017,Hoofddorp,Netherlands
14,KESNAR Jonas,CZE,2001,1:00.66,12 October 2017,Genova,Italy
15,REYNOLDS Jesse,NZL,1996,1:00.79,7 October 2017,Auckland,New Zealand
16,FICHTELMANN Felix-Ulli,GER,2001,1:01.30,18 November 2017,Remscheid,Germany
17,MCCLEMENTS Barry,IRL,2001,1:01.57,9 December 2017,Manchester,Great Britain
18=,LOBBA Andrea,ITA,1999,1:01.77,12 October 2017,Genova,Italy
18=,BOOTH Jonathan,GBR,1998,1:01.77,9 December 2017,Manchester,Great Britain
20,ADEFISAN Oludaisi,GBR,2000,1:02.43,9 December 2017,Manchester,Great Britain
21,PLEMENCIC Luka,CRO,2000,1:02.47,12 October 2017,Genova,Italy
22,LIKSOR Robin,EST,1999,1:03.01,12 October 2017,Genova,Italy
23,BICELLI Federico,ITA,1999,1:03.58,2 April 2017,Naples,Italy
24,BISKUP Patryk,POL,1998,1:04.33,3 December 2017,Vila Real de St Antonio,Portugal
25,TOMCZYK Dawid,POL,2001,1:04.98,3 December 2017,Vila Real de St Antonio,Portugal
26,HIERSCHE Julian,GER,2002,1:07.31,12 October 2017,Genova,Italy
27,MEIXELSBERGER Tom,GER,2001,1:08.74,18 November 2017,Remscheid,Germany
28,L'ABBATE Lorenzo,ITA,2001,1:09.23,12 October 2017,Genova,Italy
29,CLAESON Fabian,SWE,2002,1:11.73,12 October 2017,Genova,Italy
30,JAGODIC Patrik,SLO,2002,1:12.37,12 October 2017,Genova,Italy
31,HEEB Jakob,DEN,2001,1:13.28,12 October 2017,Genova,Italy
32,RAUHAUS Jan,GER,2000,1:13.59,17 September 2017,Remscheid,Germany
33,STRBAC David,CRO,2000,1:22.63,12 October 2017,Genova,Italy
34,NOTRETU Arian-Cristian,ROU,2005,1:23.46,12 October 2017,Genova,Italy
35,MADMON Eliad,ISR,2002,1:48.87,12 October 2017,Genova,Italy
36,HALL Brenden,AUS,1993,7:12.00,19 August 2017,Brisbane,Australia
