Rank,Name,NPC,Birth,Time,Date,City,Country
1,TAI Alice,GBR,1999,1:03.05,9 December 2017,Manchester,Great Britain
2,MARREN Amy,GBR,1998,1:04.78,9 December 2017,Manchester,Great Britain
3,VERMARIEN Manon,NED,1997,1:06.03,22 December 2017,Hoofddorp,Netherlands
4,MARKKANEN Jessika,FIN,1999,1:07.73,12 October 2017,Genova,Italy
5,NEIUFI Tupou,NZL,2001,1:08.24,7 October 2017,Auckland,New Zealand
6,GOGLIN Isabel-Marie,GER,2004,1:10.40,12 October 2017,Genova,Italy
7,LABERER Felicia Angelina Jennifer,GER,2001,1:10.43,12 October 2017,Genova,Italy
8,HEGGERTVEIT Marte,NOR,1999,1:10.50,12 October 2017,Genova,Italy
9,GORDON Hope,GBR,1994,1:10.73,9 December 2017,Manchester,Great Britain
10,BUTLER Ffion,GBR,1998,1:11.28,12 November 2017,Sheffield,Great Britain
11,JOVOVIC Ana,SRB,1999,1:12.31,12 October 2017,Genova,Italy
12,SOBCZAK Katarzyna,POL,1994,1:13.14,3 December 2017,Vila Real de St Antonio,Portugal
13,VICCH Silvia,ITA,2000,1:15.96,12 October 2017,Genova,Italy
14,HEUTER Riekje Anna,GER,2001,1:17.72,18 November 2017,Remscheid,Germany
15,DEL MASTRO Marika,ITA,2003,1:18.16,12 October 2017,Genova,Italy
16,PINTO Renata,POR,1999,1:18.27,12 October 2017,Genova,Italy
17,DANIELSSON Emma,SWE,2002,1:20.81,12 October 2017,Genova,Italy
18,ERNI Svenja,GER,2003,1:22.78,18 November 2017,Remscheid,Germany
19,NOVINA Paula,CRO,2003,1:23.12,3 December 2017,Vila Real de St Antonio,Portugal
20,FRANKS Rebecca,GBR,1997,1:28.66,9 December 2017,Manchester,Great Britain
21,MIKUSKOVICOVA Monika,CZE,1999,1:32.37,12 October 2017,Genova,Italy
