Rank,Name,NPC,Birth,Time,Date,City,Country
1,COWDREY Matthew,AUS,1988,0:24.90,14 July 2012,Sydney,Australia
2,AUPRINCE Michael,AUS,1993,0:26.82,14 July 2012,Sydney,Australia
3,GRACHAT David,POR,1987,0:27.56,15 January 2012,Santa Maria de Feira,Portugal
4,HOGGAN Stefan,GBR,1992,0:28.02,25 November 2012,Sheffield,Great Britain
5,VAN DEN END Thijs,NED,1993,0:28.03,24 June 2012,Heerenveen,Netherlands
6,PETERS Morgyn,GBR,1996,0:28.20,25 November 2012,Sheffield,Great Britain
7,CROTHERS Rowan,AUS,1997,0:28.23,25 August 2012,Brisbane,Australia
8,MCGUIGAN Hayden,AUS,1996,0:28.32,19 August 2012,Melbourne,Australia
9,DIERING Michael,CAN,1990,0:28.41,2 March 2012,Surrey,Canada
10,WYLIE Matthew,GBR,1996,0:28.43,25 November 2012,Sheffield,Great Britain
11,WEST Ryan,GBR,1997,0:28.91,25 November 2012,Sheffield,Great Britain
12,KOWALEWSKI Pascal,GER,1994,0:29.89,4 November 2012,Remscheid,Germany
13,VAN DEN BERG Sjaak,NED,1984,0:29.91,26 October 2012,Amsterdam,Netherlands
14,BENDER Nils,GER,1993,0:30.11,4 November 2012,Remscheid,Germany
15,FONTAYNE Bastian,GER,1997,0:30.98,4 November 2012,Remscheid,Germany
16,HELLER Jens,GER,1994,0:31.59,9 December 2012,Remscheid,Germany
17,BOER Simon,NED,1995,0:31.66,24 June 2012,Heerenveen,Netherlands
18,BENDLE Adam,GBR,1990,0:32.98,25 November 2012,Sheffield,Great Britain
19,VAN DUUREN Tim,NED,1998,0:33.12,3 February 2012,Amsterdam,Netherlands
20,VAN DE LOGT Erik,GER,1996,0:34.07,4 November 2012,Remscheid,Germany
21,PHILLIPS Matthew,GBR,2000,0:36.39,25 March 2012,Sheffield,Great Britain
