Rank,Name,NPC,Birth,Time,Date,City,Country
1,COWDREY Matthew,AUS,1988,0:55.20,19 March 2012,Adelaide,Australia
2,TOTH Tamas,HUN,1992,0:56.46,7 September 2012,London,Great Britain
3,SORS Tamas,HUN,1991,0:56.69,7 September 2012,London,Great Britain
4,MARI ALCARAZ Jose Antonio,ESP,1988,0:56.75,7 September 2012,London,Great Britain
5,HALL Brenden,AUS,1993,0:57.21,19 March 2012,Adelaide,Australia
6,YAMADA Takuro,JPN,1991,0:57.55,7 September 2012,London,Great Britain
7,KALYNA Andriy,UKR,1987,0:57.59,7 September 2012,London,Great Britain
8,MORLACCHI Federico,ITA,1993,0:58.04,7 April 2012,Sheffield,Great Britain
9,CROTHERS Rowan,AUS,1997,0:58.16,20 December 2012,Brisbane,Australia
10,BRAMHAM Sam,AUS,1988,0:58.21,19 March 2012,Adelaide,Australia
11,GRACHAT David,POR,1987,0:58.80,7 September 2012,London,Great Britain
12,AUPRINCE Michael,AUS,1993,0:58.81,19 March 2012,Adelaide,Australia
13,MEILINGER Csaba,HUN,1993,0:59.04,7 April 2012,Sheffield,Great Britain
14,SIROVATCHENKO Andriy,UKR,1987,0:59.12,8 May 2012,Mykolayiv,Ukraine
15=,SAMARIN Eduard,RUS,1987,0:59.17,28 April 2012,Tyumen,Russia
15=,EL GUEDDARI Sami,FRA,1984,0:59.17,7 September 2012,London,Great Britain
17,MARTYNOV Iurii,UKR,1991,0:59.22,8 May 2012,Mykolayiv,Ukraine
18,SKALIUKH Alexander,RUS,1994,0:59.37,28 April 2012,Tyumen,Russia
19,YASTREMSKYY Taras,UKR,1984,0:59.60,8 May 2012,Mykolayiv,Ukraine
20,PROUT Michael,USA,1986,0:59.70,16 June 2012,Bismarck,United States of America
21,BUREAU Cody,USA,1988,0:59.71,7 September 2012,London,Great Britain
22,MILLER Simon,GBR,1986,0:59.84,7 April 2012,Sheffield,Great Britain
23,FILHO Vanilton,BRA,1993,1:00.14,1 July 2012,Berlin,Germany
24,LAHTEENMAKI Leo,FIN,1991,1:00.19,29 April 2012,Drammen,Norway
25,GONCALVES SILVA Ruiter Antonio,BRA,1992,1:00.52,16 November 2012,Sao Paulo,Brazil
