Rank,Name,NPC,Birth,Time,Date,City,Country
1,BELANDO NICHOLSON Victoria,AUS,2008,1:04.85,5 April 2026,Gold Coast,Australia
2,DMYTRIV DMYTRIV Anastasiya,ESP,2008,1:05.27,8 February 2026,Tradate,Italy
3,MECIC Emma,CRO,2007,1:06.09,8 February 2026,Tradate,Italy
4,LINHARTOVA Eva,CZE,2000,1:11.12,28 March 2026,Sokolov,Czechia
5,CAMPBELL Millicent,AUS,2011,1:11.56,5 April 2026,Gold Coast,Australia
6,PRATT Emilee,AUS,2009,1:13.63,5 April 2026,Gold Coast,Australia
7,HANULIAKOVA Dorota,SVK,2010,1:22.51,28 March 2026,Sokolov,Czechia
8,VICCH Silvia,ITA,2000,1:25.28,8 February 2026,Tradate,Italy
