Rank,Name,NPC,Birth,Time,Date,City,Country
1,YAMAGUCHI Naohide,JPN,2000,1:04.95,11 September 2019,London,Great Britain
2,QUIN Scott,GBR,1990,1:05.28,27 April 2019,Glasgow,Great Britain
3,MICHEL Jake,AUS,1997,1:06.68,10 April 2019,Adelaide,Australia
4,EVERS Marc,NED,1991,1:07.03,11 September 2019,London,Great Britain
5,KRAINYK Vasyl,UKR,1996,1:07.61,11 September 2019,London,Great Britain
6,TANAKA Yasuhiro,JPN,1989,1:07.74,3 March 2019,Fuji,Japan
7,PAVLENKO Artem,RUS,1990,1:08.22,11 September 2019,London,Great Britain
8,PARMENTIER Aymeric,BEL,1993,1:08.51,11 September 2019,London,Great Britain
9,MORRISON Conner,GBR,1997,1:08.55,27 April 2019,Glasgow,Great Britain
10,KAKO Toshiya,JPN,1995,1:08.88,22 September 2019,Yokohama,Japan
11,TOKAIRIN Dai,JPN,1999,1:09.05,27 April 2019,Glasgow,Great Britain
12,BENNETT Nicholas,CAN,2003,1:09.40,25 August 2019,Lima,Peru
13,KULIABIN Mikhail,RUS,1998,1:09.74,11 September 2019,London,Great Britain
14,KIM Banseok,KOR,1999,1:10.34,22 September 2019,Yokohama,Japan
15,ARAYA Elian,ARG,1991,1:10.49,25 August 2019,Lima,Peru
16,HAYASHIDA Taiga,JPN,1989,1:10.56,14 October 2019,Brisbane,Australia
17,CHAN Long Tin,HKG,2001,1:11.09,14 October 2019,Brisbane,Australia
18,SEAGE Joseph,GBR,1999,1:11.25,25 July 2019,Glasgow,Great Britain
19,DUNN Reece,GBR,1995,1:11.30,27 April 2019,Glasgow,Great Britain
20,WENHAM Adam Ismael,NOR,1997,1:11.75,16 February 2019,Melbourne,Australia
21,ROBERTS Gavin,GBR,1999,1:11.92,25 July 2019,Glasgow,Great Britain
22,JONSSON Robert Isak,ISL,2001,1:12.05,14 October 2019,Brisbane,Australia
23,ABDULLAH Mohd Adib Iqbal,MAS,1999,1:12.30,10 May 2019,Singapore,Singapore
24,MILNE Jack,GBR,2001,1:12.32,1 December 2019,Manchester,Great Britain
25,LAWLOR Louis,GBR,2002,1:12.39,1 December 2019,Manchester,Great Britain
26,HIROTA Shinichi,JPN,1996,1:12.69,3 March 2019,Fuji,Japan
27,KIM Kyeongbin,KOR,2003,1:12.93,22 September 2019,Suwon,South Korea
28,EMELIANTSEV Viacheslav,RUS,1994,1:13.00,10 May 2019,Singapore,Singapore
29,PALAZZO Misha,ITA,2002,1:13.32,19 October 2019,Bratislava,Slovakia
30,YOONG Chung Wei,MAS,1995,1:13.33,10 May 2019,Singapore,Singapore
31,VILA REAL Felipe,BRA,1997,1:13.46,25 August 2019,Lima,Peru
32,KIM Hyeonseung,KOR,1999,1:13.57,6 July 2019,Jeju,South Korea
33,NAKAJIMA Keichi,JPN,1998,1:13.58,16 February 2019,Melbourne,Australia
34,MACDONALD Tyson,CAN,1996,1:13.99,25 August 2019,Lima,Peru
35,PUTZ Aaron,RSA,1996,1:14.00,27 April 2019,Glasgow,Great Britain
36,DEGUCHI Eigo,JPN,1996,1:14.26,3 March 2019,Fuji,Japan
37,HUI Ka Chun,HKG,2001,1:14.55,11 September 2019,London,Great Britain
38,JORINK Michiel,NED,1987,1:14.67,6 April 2019,The Hague,Netherlands
39,MURAMATSU Ryo,JPN,1990,1:15.09,23 November 2019,Narashino,Japan
40,HLAVAC Vladimir,CZE,1993,1:15.13,6 June 2019,Berlin,Germany
41,KIM Minkyu,KOR,1998,1:15.21,22 September 2019,Yokohama,Japan
42,LEE Juyoung,KOR,1997,1:15.32,9 June 2019,Ulsan,South Korea
43,BLAISE Simon,FRA,1996,1:15.33,27 April 2019,Glasgow,Great Britain
44,IOANNOU Tyler,GBR,1998,1:15.58,25 July 2019,Glasgow,Great Britain
45,SEPTIANA Irfan,INA,1996,1:15.78,14 October 2019,Brisbane,Australia
46,SCHLUTER Liam,AUS,1999,1:15.95,19 December 2019,Brisbane,Australia
47,HASUNO Takuto,JPN,2001,1:16.21,10 May 2019,Singapore,Singapore
48,SHABALIN Andrei,RUS,1998,1:16.27,14 May 2019,Dzerzhinsk,Russia
49,TSUGAWA Takuya,JPN,1992,1:16.65,3 March 2019,Fuji,Japan
50,SAPP Lawrence,USA,2001,1:16.85,10 May 2019,Singapore,Singapore
51,BETAR Ricky,AUS,2003,1:16.91,16 February 2019,Melbourne,Australia
52,LEE Hangseob,KOR,1999,1:16.94,20 April 2019,Cheongju,South Korea
53,MAIDANA CANCINOS Lautaro Daniel,ARG,2004,1:17.27,25 August 2019,Lima,Peru
54,IRELAND Jack,AUS,1999,1:17.29,16 February 2019,Melbourne,Australia
55,LIM Hyeonkyu,KOR,1999,1:17.60,9 June 2019,Ulsan,South Korea
56,BROOM Dylan,GBR,2002,1:18.01,25 July 2019,Glasgow,Great Britain
57,DAVIES Rhys,GBR,2001,1:18.46,16 March 2019,Edinburgh,Great Britain
58,YAMANAKA Yuki,JPN,1997,1:19.57,3 March 2019,Fuji,Japan
59,AUSTIN Tyler,USA,2001,1:19.58,5 April 2019,Indianapolis,United States of America
60,ISHIDA Shinichi,JPN,1985,1:19.68,22 September 2019,Yokohama,Japan
61=,SAKAKURA Koki,JPN,1997,1:19.69,3 March 2019,Fuji,Japan
61=,DAALMAN Bram,NED,2003,1:19.69,27 April 2019,Glasgow,Great Britain
63,KHALILI Nader,FIN,2001,1:20.16,27 April 2019,Glasgow,Great Britain
64,VANDEPUT Yannick,BEL,1994,1:20.52,25 May 2019,Oostende,Belgium
65,HIRANO Ryuhei,JPN,1989,1:20.56,22 September 2019,Yokohama,Japan
66,KILDUFF Mitchell,AUS,1996,1:20.57,14 October 2019,Brisbane,Australia
67,PIERCE Jonathan,USA,1993,1:20.65,7 December 2019,Lewisville,United States of America
68,DYER Jarred,AUS,2000,1:20.66,14 October 2019,Brisbane,Australia
69,SILVERIO DOS SANTOS Wesley,BRA,1999,1:20.90,11 May 2019,Sao Paulo,Brazil
70,BASINI Jacob,USA,1998,1:20.92,5 April 2019,Indianapolis,United States of America
71,MIYAZAKI Satoru,JPN,1992,1:21.17,10 May 2019,Singapore,Singapore
72,BENTO DA SILVA FILHO Andre Luiz,BRA,1996,1:21.19,6 July 2019,Sao Paulo,Brazil
