Rank,Name,NPC,Birth,Time,Date,City,Country
1,COLE Ellie,AUS,1991,0:29.29,3 November 2016,Brisbane,Australia
2,NEIUFI Tupou,NZL,2001,0:30.18,4 October 2016,Auckland,New Zealand
3,SCOTT Madeleine,AUS,1993,0:30.66,3 November 2016,Brisbane,Australia
4,MARREN Amy,GBR,1998,0:31.08,12 November 2016,Sheffield,Great Britain
5,CASHMORE Claire,GBR,1988,0:31.46,12 November 2016,Sheffield,Great Britain
6,VERMARIEN Manon,NED,1997,0:32.07,6 November 2016,Hoofddorp,Netherlands
7,DOOTJES Lisa,NED,1994,0:32.63,6 November 2016,Hoofddorp,Netherlands
8,BUTLER Ffion,GBR,1998,0:32.64,12 November 2016,Sheffield,Great Britain
9,HEGGERTVEIT Marte,NOR,1999,0:33.08,10 March 2016,Stavanger,Norway
10,LABERER Felicia Angelina Jennifer,GER,2001,0:33.39,19 November 2016,Remscheid,Germany
11,HEUTER Riekje Anna,GER,2001,0:35.22,19 November 2016,Remscheid,Germany
12,UPSTON Olivia,NZL,2001,0:36.25,4 October 2016,Auckland,New Zealand
13,MCKELVIE Kate,NZL,2000,0:39.63,4 October 2016,Auckland,New Zealand
