Rank,Name,NPC,Birth,Time,Date,City,Country
1,KONKOLY Michelle,USA,1992,1:00.91,12 September 2016,Rio de Janeiro,Brazil
2,COLE Ellie,AUS,1991,1:02.69,11 April 2016,Adelaide,Australia
3,GASCON Sarai,ESP,1992,1:02.81,5 May 2016,Funchal,Portugal
4,MARQUES SOTO Nuria,ESP,1999,1:03.82,12 September 2016,Rio de Janeiro,Brazil
5,XU Jialing,CHN,2002,1:04.32,12 September 2016,Rio de Janeiro,Brazil
6,MCCONNELL Ashleigh,AUS,1996,1:04.78,12 September 2016,Rio de Janeiro,Brazil
7,BEECROFT Emily,AUS,1999,1:04.90,12 September 2016,Rio de Janeiro,Brazil
8,MILLWARD Stephanie,GBR,1981,1:05.01,23 April 2016,Glasgow,Great Britain
9,LIN Ping,CHN,1994,1:05.08,12 September 2016,Rio de Janeiro,Brazil
10,WANG Jiexin,CHN,1992,1:05.23,12 September 2016,Rio de Janeiro,Brazil
11,MARREN Amy,GBR,1998,1:05.63,12 September 2016,Rio de Janeiro,Brazil
12,SIMS Natalie,USA,1997,1:05.71,2 July 2016,"Charlotte, NC",United States of America
13,RODRIGUES FERREIRA CRUZ Camille,BRA,1992,1:05.87,22 April 2016,Rio de Janeiro,Brazil
14,MAMLINA Nataliia,RUS,1991,1:06.14,5 May 2016,Funchal,Portugal
15,ROXON Katarina,CAN,1993,1:06.65,10 April 2016,Toronto,Canada
16,GRAZHDANOVA Irina,RUS,1987,1:06.69,5 May 2016,Funchal,Portugal
17,SUPIOT Claire,FRA,1968,1:06.72,17 June 2016,SAINT-MALO,France
18,SMITH Elizabeth,USA,1996,1:06.77,22 April 2016,Rio de Janeiro,Brazil
19,ASPDEN Hannah,USA,2000,1:06.83,2 July 2016,"Charlotte, NC",United States of America
20,VERMARIEN Manon,NED,1997,1:06.90,12 September 2016,Rio de Janeiro,Brazil
21,KETKEAW Anchaya,THA,1998,1:08.34,12 September 2016,Rio de Janeiro,Brazil
22,MORISHITA Yuki,JPN,1996,1:08.38,12 September 2016,Rio de Janeiro,Brazil
23,KUKANOVA Valeriia,RUS,1995,1:08.60,5 May 2016,Funchal,Portugal
24,ICHINOSE Mei,JPN,1997,1:08.77,12 September 2016,Rio de Janeiro,Brazil
25,SCOTT Madeleine,AUS,1993,1:08.86,6 March 2016,Sydney,Australia
26,SECCI Francesca,ITA,1990,1:09.06,31 January 2016,Busto Arsizio,Italy
27,CASHMORE Claire,GBR,1988,1:09.09,28 July 2016,Sheffield,Great Britain
28,GRAY Emily,RSA,1991,1:09.54,14 April 2016,Durban,South Africa
29,MARKKANEN Jessika,FIN,1999,1:09.84,10 June 2016,Berlin,Germany
30,NEIUFI Tupou,NZL,2001,1:09.99,1 April 2016,Auckland,New Zealand
31,RICHTER Megan,GBR,2000,1:10.14,23 April 2016,Glasgow,Great Britain
32,GORDIYCHUK Yuliya,ISR,1998,1:10.45,12 March 2016,Nethany,Israel
33,GROGAN Lindsay,USA,1987,1:10.73,2 July 2016,"Charlotte, NC",United States of America
34,KONKOLY Zsofia,HUN,2002,1:10.94,3 April 2016,Eger,Hungary
35,LIANG Megan Kuang-Hsin,USA,1995,1:11.36,2 July 2016,"Charlotte, NC",United States of America
36=,ODRIOZOLA ZUBIA Josune,ESP,1996,1:11.75,16 January 2016,"Adeje, Tenerife Island",Spain
36=,SOBCZAK Katarzyna,POL,1994,1:11.75,5 May 2016,Funchal,Portugal
38,CROOK Alyssia,USA,1998,1:11.84,7 May 2016,"Cincinnati, OH",United States of America
39,HEGGERTVEIT Marte,NOR,1999,1:11.89,28 May 2016,Bergen,Norway
40,WEISS Julia,BRA,1989,1:11.93,17 July 2016,Sao Paulo,Brazil
41,BAUMANN Stephanie,SUI,1991,1:11.94,12 March 2016,Zürich,Switzerland
42,KERLEY April,USA,1978,1:12.01,2 July 2016,"Charlotte, NC",United States of America
43,HOPKINS Molly,GBR,2003,1:12.09,11 December 2016,Manchester,Great Britain
44,INCE Shanntol,TTO,1995,1:12.41,12 September 2016,Rio de Janeiro,Brazil
45,BUTLER Ffion,GBR,1998,1:12.52,23 April 2016,Glasgow,Great Britain
46,GKOULI Efthymia,GRE,1996,1:12.68,26 June 2016,Athens,Greece
47,GORDON Hope,GBR,1994,1:12.88,23 April 2016,Glasgow,Great Britain
48,DOOTJES Lisa,NED,1994,1:12.96,9 April 2016,Eindhoven,Netherlands
49,GONZALEZ Mailyn,CHI,1999,1:12.97,22 April 2016,Rio de Janeiro,Brazil
50,BAIRD Gabby,CAN,2000,1:13.02,2 July 2016,Etobicoke,Canada
51,WHITE Mei,USA,2004,1:13.05,27 November 2016,"Miami, FL",United States of America
52,BLANCHARD Isabella,USA,2002,1:13.14,17 July 2016,Gatineau,Canada
53,ETIENNE Lucie,FRA,2001,1:13.83,3 April 2016,MONTPELLIER,France
54,GONZALEZ EGUIA Imelda de Los Angeles,MEX,1993,1:14.14,5 March 2016,Merida,Mexico
55,CHRISTENSEN Laura Martens,DEN,1997,1:14.31,20 March 2016,Aarhus,Denmark
56,GODOY SOTO Kiara Pollet,CHI,2002,1:14.36,17 July 2016,Gatineau,Canada
57,SILVA Emyly,BRA,1999,1:14.53,13 November 2016,Sao Paulo,Brazil
58,CHAVEZ GARCIA Carmen Paola,MEX,1998,1:14.81,5 March 2016,Merida,Mexico
59,KOMARKOVA Katerina,CZE,1995,1:15.25,1 July 2016,Prague,Czechia
60,JOVOVIC Ana,SRB,1999,1:15.33,26 November 2016,Prague,Czechia
61,RODRIGUES Erica Da Rosa,BRA,1994,1:15.62,22 April 2016,Rio de Janeiro,Brazil
62,NAKAMICHI Honoka,JPN,2000,1:15.74,6 March 2016,Fuji,Japan
63,TUBBS Samantha,USA,1999,1:15.79,2 July 2016,"Charlotte, NC",United States of America
64,OKABE Honoka,JPN,2000,1:15.83,6 March 2016,Fuji,Japan
65,LABERER Felicia Angelina Jennifer,GER,2001,1:15.94,10 June 2016,Berlin,Germany
66,MARIC Jadranka,SVK,1998,1:16.04,10 June 2016,Berlin,Germany
67,SCHMIT Summer,USA,2003,1:16.26,2 July 2016,"Charlotte, NC",United States of America
68,ACUNA SANCHEZ Paola Alexandra,PUR,2000,1:16.44,17 July 2016,Gatineau,Canada
69,PROSHINA Iuliia,RUS,1996,1:16.58,11 April 2016,"Ramenskoe, Moscow Region",Russia
70,MARTINS Shannon,RSA,2001,1:16.68,14 April 2016,Durban,South Africa
71,UTSUGI Mikuni,JPN,2003,1:16.81,18 July 2016,Yokohama,Japan
72,MORLEY Elise,USA,2000,1:16.88,17 July 2016,Gatineau,Canada
73,CALADO Joana,POR,1992,1:17.22,19 June 2016,Povoa de Varzim,Portugal
74,HAASE Camila,CRC,2000,1:17.48,22 April 2016,Rio de Janeiro,Brazil
75,LANG Christina,USA,1997,1:17.50,5 March 2016,Edmond,United States of America
76,PINTO Renata,POR,1999,1:17.56,5 May 2016,Funchal,Portugal
77,FERNANDES Ana Paula,BRA,1995,1:17.59,17 July 2016,Sao Paulo,Brazil
78,HEUTER Riekje Anna,GER,2001,1:19.56,10 June 2016,Berlin,Germany
79,RAZETDINOVA Adelina,RUS,2000,1:19.83,1 July 2016,Prague,Czechia
80,KENDALL Sydney,USA,2001,1:20.26,7 May 2016,"Cincinnati, OH",United States of America
81,YAROVAYA Larisa,RUS,1991,1:20.30,21 February 2016,Sheffield,Great Britain
82,ISHIHARA Marin,JPN,2002,1:20.94,12 November 2016,Fukuoka,Japan
83,HIDALGO MU Itzel Fernanda,MEX,1999,1:21.38,26 November 2016,MEXICO CITY,Mexico
84,DE-PIPPO Jennifer,CAN,1987,1:22.33,17 July 2016,Gatineau,Canada
85,UPSTON Olivia,NZL,2001,1:24.27,1 April 2016,Auckland,New Zealand
86,MCKELVIE Kate,NZL,2000,1:26.63,1 April 2016,Auckland,New Zealand
87,GROSS Courtney,USA,2002,1:27.21,2 July 2016,"Charlotte, NC",United States of America
88,ORDAZ GONZALEZ Andrea Joana,MEX,2001,1:27.66,26 November 2016,MEXICO CITY,Mexico
89,CERVANTES MORENO Lesly Lucia,MEX,1998,1:29.07,5 March 2016,Merida,Mexico
90,BATEMAN Ashley,USA,1976,1:29.33,7 May 2016,"Cincinnati, OH",United States of America
91,NOVINA Paula,CRO,2003,1:29.71,18 December 2016,Brescia,Italy
92,ALPAN Idil Beyza,TUR,2002,1:29.99,23 January 2016,Split,Croatia
