Rank,Name,NPC,Birth,Time,Date,City,Country
1,DISKEN Timothy,AUS,1996,0:55.25,3 November 2016,Brisbane,Australia
2,HALL Brenden,AUS,1993,0:57.45,3 November 2016,Brisbane,Australia
3,ARBUTHNOTT Christopher,NZL,1998,0:57.82,6 October 2016,Auckland,New Zealand
4,HODGE Timothy,AUS,2001,0:58.20,3 November 2016,Brisbane,Australia
5,VAN DEN END Thijs,NED,1993,0:58.92,3 December 2016,Amsterdam,Netherlands
6,VAN DUUREN Tim,NED,1998,0:59.57,31 January 2016,Amsterdam,Netherlands
7,KARAS Adam,GER,2001,0:59.72,19 November 2016,Remscheid,Germany
8,BRAUNSCHWEIG Malte,GER,2000,1:00.21,19 November 2016,Remscheid,Germany
9,POWELL Logan,AUS,1999,1:01.77,3 November 2016,Brisbane,Australia
10,FONTAYNE Bastian,GER,1997,1:03.63,4 September 2016,Remscheid,Germany
11,MEIXELSBERGER Tom,GER,2001,1:05.80,19 November 2016,Remscheid,Germany
12,OLLI Eje,SWE,1999,1:11.99,14 February 2016,Malmo,Sweden
13,BARTZ Alexander,GER,1998,1:13.83,19 November 2016,Remscheid,Germany
14,RAUHAUS Jan,GER,2000,1:14.42,19 November 2016,Remscheid,Germany
15,ADOLFSSON Marino Ingi,ISL,1996,1:18.27,14 February 2016,Malmo,Sweden
