Rank,Name,NPC,Birth,Time,Date,City,Country
1,ELLARD William,GBR,2006,0:51.07,17 April 2025,London,Great Britain
2,XAVIER RIBEIRO Arthur,BRA,2007,0:51.29,5 December 2025,São Paulo,Brazil
3,BANDEIRA Gabriel,BRA,1999,0:52.21,13 March 2025,Lignano Sabbiadoro,Italy
4,IRELAND Jack,AUS,1999,0:52.33,13 June 2025,Adelaide,Australia
5,BENNETT Nicholas,CAN,2003,0:52.71,29 November 2025,Markham,Canada
6,BISSETT Connor Scott,CAN,2000,0:52.81,24 July 2025,Edmonton,Canada
7,BUDD Declan,AUS,2007,0:53.18,15 December 2025,Sydney,Australia
8=,BROOM Dylan,GBR,2002,0:53.47,22 July 2025,Sheffield,Great Britain
8=,YAMAGUCHI Naohide,JPN,2000,0:53.47,14 September 2025,Nagoya,Japan
10,HILLHOUSE Alexander,DEN,2004,0:53.59,2 May 2025,Paris,France
11,CHEUNG Tsun Lok,HKG,2005,0:53.86,10 April 2025,Fuji,Japan
12,BETAR Ricky,AUS,2003,0:54.32,14 February 2025,Melbourne,Australia
13,TANG Wai Lok,HKG,1997,0:54.42,27 August 2025,Bangkok,Thailand
14,DARBEY Rhys,GBR,2007,0:54.55,22 July 2025,Sheffield,Great Britain
15,TOMPSETT Mark,GBR,2006,0:54.60,22 July 2025,Sheffield,Great Britain
16,GARCIA SANCHEZ Juan Esteban,COL,2005,0:54.61,27 August 2025,Bangkok,Thailand
17,MAILLET Nathan,FRA,1998,0:54.68,27 August 2025,Bangkok,Thailand
18,SISMAN Darren,AUS,2006,0:54.74,15 December 2025,Sydney,Australia
19,KHALILI Nader,FIN,2001,0:54.79,20 April 2025,Helsinki,Finland
20=,PAVEZ Agustin,CHI,2008,0:54.82,12 June 2025,Guadalajara,Mexico
20=,KOWALIK Andrzej,POL,2006,0:54.82,20 June 2025,Berlin,Germany
22,KUMARASING Phakhawat,THA,2005,0:54.86,27 August 2025,Bangkok,Thailand
23,MAIDANA CANCINOS Lautaro Daniel,ARG,2004,0:54.87,13 March 2025,Lignano Sabbiadoro,Italy
24,STEWART Harry,GBR,2004,0:55.05,22 July 2025,Sheffield,Great Britain
25,BERDNIK Rodion,RUS,2003,0:55.08,10 April 2025,Fuji,Japan
26,RUMIANTSEV Klim,RUS,2004,0:55.12,27 August 2025,Bangkok,Thailand
27,LAWLOR Louis,GBR,2002,0:55.18,27 June 2025,Edinburgh,Great Britain
28,TSUBOI Yuuki,JPN,2005,0:55.33,20 March 2025,Barcelona,Spain
29,WONG Hon Yin,HKG,2001,0:55.41,10 April 2025,Fuji,Japan
30,SAPP Lawrence,USA,2001,0:55.50,24 April 2025,Indianapolis,United States of America
31,LAU Sze Kai Bryan,MAS,2005,0:55.52,27 August 2025,Bangkok,Thailand
32,GOULD Samuel,AUS,2005,0:55.57,19 December 2025,Brisbane,Australia
33,KAGOSE Rei,JPN,2004,0:55.66,14 September 2025,Nagoya,Japan
34,MURAKAMI Shunya,JPN,1994,0:55.70,1 November 2025,Narashino,Japan
35,KIM Soohyeong,KOR,2002,0:55.91,27 September 2025,Busan,South Korea
36,LABRADOR FERNANDEZ Javier,ESP,2001,0:55.99,15 June 2025,ZARAGOZA,Spain
37,AGOSTO Alessandro,ITA,2003,0:56.07,13 March 2025,Lignano Sabbiadoro,Italy
38,KHOO Ethan Yin Jun,MAS,2004,0:56.11,10 April 2025,Fuji,Japan
39,UEMURA Haruhi,JPN,2005,0:56.13,20 March 2025,Barcelona,Spain
40,MAKIYAMA Kazuki,JPN,2008,0:56.14,1 November 2025,Narashino,Japan
41,BRUTOS DE OLIVEIRA Joao Pedro,BRA,2004,0:56.17,5 December 2025,São Paulo,Brazil
42,HASUNO Takuto,JPN,2001,0:56.19,14 September 2025,Nagoya,Japan
43,SHIH Min-Hsuan,TPE,1997,0:56.21,27 August 2025,Bangkok,Thailand
44,GUNNER Jude,GBR,2009,0:56.26,22 July 2025,Sheffield,Great Britain
45,LEE Inkook,KOR,1995,0:56.37,10 April 2025,Fuji,Japan
46,BENTO DA SILVA FILHO Andre Luiz,BRA,1996,0:56.57,27 August 2025,Bangkok,Thailand
47,LONGARON CARRERAS Adrian,ESP,2001,0:56.63,30 March 2025,OVIEDO,Spain
48,ANTIPOV Dmitrii,RUS,2003,0:56.64,27 August 2025,Bangkok,Thailand
49,KO Junho,KOR,2002,0:56.73,7 December 2025,Cheonan,South Korea
50,CHO Wonsang,KOR,1992,0:56.85,7 December 2025,Cheonan,South Korea
51,STEWART Bailey,AUS,2001,0:56.91,19 December 2025,Brisbane,Australia
52,HUI Ka Chun,HKG,2001,0:56.92,27 August 2025,Bangkok,Thailand
53,WATANABE Takuto,JPN,2008,0:57.06,11 December 2025,Dubai,United Arab Emirates
54,ALEGARBES Ariel Joseph,PHI,2004,0:57.11,10 April 2025,Fuji,Japan
55,SEKI Kevin,JPN,1999,0:57.14,13 January 2025,Narashino,Japan
56,MIYAZAKI Satoru,JPN,1992,0:57.27,1 November 2025,Narashino,Japan
57,VAN DER MERWE Jason,GBR,2008,0:57.38,20 December 2025,Corby,Great Britain
58,NIK RAFIZAL Nik Muhammad Joe Asyraff,MAS,2004,0:57.45,10 April 2025,Fuji,Japan
59=,GLADYSHEV Artem,RUS,2006,0:57.48,10 April 2025,Fuji,Japan
59=,KIM Kyeongbin,KOR,2003,0:57.48,7 December 2025,Cheonan,South Korea
61,MICHEL Jake,AUS,1997,0:57.59,14 February 2025,Melbourne,Australia
62=,GUTIERREZ LEON Angel Fernando,MEX,2001,0:57.60,12 June 2025,Guadalajara,Mexico
