Rank,Name,NPC,Birth,Time,Date,City,Country
1,LEARY Alexa,AUS,2001,0:58.89,18 May 2025,Sydney,Australia
2,RIBEIRO Mariana,BRA,1995,1:01.64,24 September 2025,Singapore,Singapore
3,JIBB Mary,CAN,2006,1:02.71,24 September 2025,Singapore,Singapore
4,BEECROFT Emily,AUS,1999,1:03.97,24 September 2025,Singapore,Singapore
5,XU Jialing,CHN,2002,1:04.28,9 December 2025,Shenzhen,China
6,MECIC Emma,CRO,2007,1:04.47,24 September 2025,Singapore,Singapore
7,PATTERSON Lakeisha,AUS,1999,1:04.59,24 September 2025,Singapore,Singapore
8,GASCON Sarai,ESP,1992,1:04.98,20 March 2025,Barcelona,Spain
9,BIANCO Vittoria,ITA,1995,1:05.08,26 June 2025,Rome,Italy
10,BELANDO NICHOLSON Victoria,AUS,2008,1:05.28,13 June 2025,Adelaide,Australia
11,LAMBERT Evie,GBR,2007,1:05.77,25 July 2025,Sheffield,Great Britain
12,SHAW Toni,GBR,2003,1:05.96,20 April 2025,London,Great Britain
13,FULLGRABE Jasmin,AUS,2005,1:06.11,13 June 2025,Adelaide,Australia
14,SCHMIT Summer,USA,2003,1:06.30,23 October 2025,Lima,Peru
15,PAULI Agathe,FRA,2003,1:06.33,2 May 2025,Paris,France
16,MARQUES SOTO Nuria,ESP,1999,1:06.63,20 March 2025,Barcelona,Spain
17,WILLIS Meghan,GBR,2007,1:06.68,20 April 2025,London,Great Britain
18,RODRIGUES FERREIRA CRUZ Camille,BRA,1992,1:06.86,14 June 2025,São Paulo,Brazil
19,KONKOLY Zsofia,HUN,2002,1:07.20,2 May 2025,Paris,France
20,HALE Brooklyn,GBR,2010,1:07.45,25 July 2025,Sheffield,Great Britain
21,BULTJE Florianne,NED,1998,1:07.48,26 June 2025,Rome,Italy
22,OCHTERA Aleksandra,POL,2004,1:07.60,30 November 2025,Szczecin,Poland
23,BORUSZEWSKA Zuzanna,POL,2005,1:07.84,29 June 2025,Zielona Góra-Drzonków,Poland
24,DMYTRIV DMYTRIV Anastasiya,ESP,2008,1:07.89,20 March 2025,Barcelona,Spain
25,HAYNES Isabella,GBR,2008,1:08.43,20 December 2025,Corby,Great Britain
26,CANDELA BONETE Maria,ESP,2003,1:08.53,15 February 2025,Barcelona,Spain
27,APAESTEGUI FARFAN Micaela,PER,2010,1:08.85,2 May 2025,Paris,France
