Rank,Name,NPC,Birth,Time,Date,City,Country
1,ELLARD William,GBR,2006,0:49.42,13 December 2025,Sheffield,Great Britain
2,IRELAND Jack,AUS,1999,0:51.58,3 October 2025,Melbourne,Australia
3,HILLHOUSE Alexander,DEN,2004,0:52.38,29 November 2025,Reykjavik,Iceland
4,STEWART Harry,GBR,2004,0:52.62,13 December 2025,Sheffield,Great Britain
5,TOMPSETT Mark,GBR,2006,0:52.92,13 December 2025,Sheffield,Great Britain
6,BROOM Dylan,GBR,2002,0:53.03,15 November 2025,Sheffield,Great Britain
7,GUNNER Jude,GBR,2009,0:53.85,13 December 2025,Sheffield,Great Britain
8,TSUBOI Yuuki,JPN,2005,0:54.07,28 September 2025,Nagaoka,Japan
9,GOULD Samuel,AUS,2005,0:54.67,9 August 2025,Brisbane,Australia
10,VAN DER MERWE Jason,GBR,2008,0:55.13,13 December 2025,Sheffield,Great Britain
11,STEWART Bailey,AUS,2001,0:55.58,9 August 2025,Brisbane,Australia
12,FUELLGRAF Julian Jeremy,GER,2005,0:55.60,16 November 2025,Nürnberg,Germany
13,VEARNCOMBE Cameron,GBR,2002,0:57.28,13 December 2025,Sheffield,Great Britain
14,YAMANAKA Yuki,JPN,1997,0:58.17,28 September 2025,Nagaoka,Japan
15,HAYDON James,NZL,2007,0:58.55,24 September 2025,Auckland,New Zealand
16,RENTSCH Pascal Andreas,GER,2003,0:58.58,16 November 2025,Nürnberg,Germany
17,BECK David,NZL,1996,0:58.66,24 September 2025,Auckland,New Zealand
18,MCMANUS Nathan,GBR,2007,0:58.91,13 December 2025,Sheffield,Great Britain
19,REITER Florian,GER,2008,0:59.12,16 November 2025,Nürnberg,Germany
20,CANNEY Jesse,CAN,1996,0:59.30,8 August 2025,Sherbrooke,Canada
21,LEIB Richard,EST,2004,0:59.31,29 November 2025,Reykjavik,Iceland
22,BUGLER Jack,NZL,2002,0:59.81,24 September 2025,Auckland,New Zealand
23,BRAAT Thomas,NED,2008,1:00.75,19 December 2025,Den Haag,Netherlands
24,KLASSON Tobias,SWE,2000,1:00.91,29 November 2025,Reykjavik,Iceland
25,ALFORD Joshua,AUS,1995,1:01.13,26 July 2025,Brisbane,Australia
26,KORSAKOV Nikita,EST,2008,1:02.85,29 November 2025,Reykjavik,Iceland
27,DILLING Jason Michael,GER,2007,1:03.77,16 November 2025,Nürnberg,Germany
28,CONLON Bailey Errol Hudson,NZL,2005,1:03.79,24 September 2025,Auckland,New Zealand
