Rank,Name,NPC,Birth,Time,Date,City,Country
1,YAMAGUCHI Naohide,JPN,2000,0:54.18,19 December 2021,Matsuyama,Japan
2,PALAZZO Misha,ITA,2002,0:54.35,28 November 2021,Riccione,Italy
3,SAKAKURA Koki,JPN,1997,0:55.09,19 December 2021,Matsuyama,Japan
4,IRELAND Jack,AUS,1999,0:55.11,31 July 2021,Brisbane,Australia
5,KAKO Toshiya,JPN,1995,0:56.14,19 December 2021,Matsuyama,Japan
6,ALFORD Joshua,AUS,1995,0:56.96,31 July 2021,Brisbane,Australia
7,MICHEL Jake,AUS,1997,0:57.37,31 July 2021,Brisbane,Australia
8,STEWART Bailey,AUS,2001,0:57.80,31 July 2021,Brisbane,Australia
9,CASALI Kevin,ITA,1993,1:01.70,28 November 2021,Riccione,Italy
