Rank,Name,NPC,Birth,Time,Date,City,Country
1,PATTERSON Lakeisha,AUS,1999,1:03.14,13 June 2026,Homebush NSW,Australia
2,BEECROFT Emily,AUS,1999,1:04.36,13 June 2026,Homebush NSW,Australia
3,BELANDO NICHOLSON Victoria,AUS,2008,1:04.44,13 June 2026,Homebush NSW,Australia
4,JABLONSKA Oliwia,POL,1997,1:04.65,4 July 2026,Eindhoven,Netherlands
5,BIANCO Vittoria,ITA,1995,1:04.91,27 June 2026,Rome,Italy
6,DMYTRIV DMYTRIV Anastasiya,ESP,2008,1:05.16,19 March 2026,Barcelona,Spain
7,MECIC Emma,CRO,2007,1:05.45,12 March 2026,Lignano Sabbiadoro,Italy
8,SHAW Toni,GBR,2003,1:05.47,26 June 2026,Edinburgh,Great Britain
9,HALE Brooklyn,GBR,2010,1:05.56,14 April 2026,London,Great Britain
10,BULTJE Florianne,NED,1998,1:05.57,19 March 2026,Barcelona,Spain
11,KONKOLY Zsofia,HUN,2002,1:05.64,19 March 2026,Barcelona,Spain
12,VEIGA Susana,POR,2000,1:06.36,31 March 2026,Coimbra,Portugal
13,SCHMIT Summer,USA,2003,1:06.38,7 May 2026,Berlin,Germany
14,LAMBERT Evie,GBR,2007,1:06.71,14 April 2026,London,Great Britain
15,KLIACHKINA Elena,RUS,2005,1:06.88,22 May 2026,Kaluga,Russia
16,PAULI Agathe,FRA,2003,1:06.93,1 May 2026,Paris,France
17,PENNINGTON Carolyn,USA,2008,1:07.51,1 May 2026,Paris,France
18,MAIBORODINA Daria,RUS,2004,1:07.56,1 May 2026,Paris,France
19,HAYNES Isabella,GBR,2008,1:07.89,20 February 2026,Swansea,Great Britain
20,WILLIS Meghan,GBR,2007,1:08.16,20 February 2026,Swansea,Great Britain
21=,FULLGRABE Jasmin,AUS,2005,1:08.28,14 February 2026,Melbourne,Australia
21=,FUKUDA Kanon,JPN,2006,1:08.28,29 May 2026,Fuji,Japan
23,APAESTEGUI FARFAN Micaela,PER,2010,1:08.58,7 May 2026,Berlin,Germany
24,SHEN Jiahui,CHN,2007,1:08.60,7 May 2026,Berlin,Germany
25,MAEDA Ema,JPN,2007,1:09.31,29 May 2026,Fuji,Japan
26,LERIDA MALDONADO Beatriz,ESP,2005,1:09.68,29 May 2026,Fuji,Japan
27,BORUSZEWSKA Zuzanna,POL,2005,1:10.05,7 May 2026,Berlin,Germany
28,PAYER Kata,HUN,2005,1:10.12,1 May 2026,Paris,France
29,BADROV Marija,CRO,2008,1:10.20,12 March 2026,Lignano Sabbiadoro,Italy
30,SELLICK Gemma,AUS,2010,1:10.41,13 June 2026,Homebush NSW,Australia
31,FALTMAN Helena,SWE,1980,1:10.53,25 June 2026,Boras,Sweden
32,KNOTT Keegan,USA,2005,1:10.62,14 June 2026,Boise,United States of America
33,PELLIS Suzie,NED,2007,1:11.26,4 July 2026,Eindhoven,Netherlands
34,PRATT Emilee,AUS,2009,1:11.50,13 June 2026,Homebush NSW,Australia
35,SORINI Margherita,ITA,2004,1:11.51,12 March 2026,Lignano Sabbiadoro,Italy
36,WHITE Mei,USA,2004,1:11.53,7 March 2026,Birmingham,United States of America
37,BADOWSKA Nikola,POL,2007,1:11.55,18 April 2026,Bydgoszcz,Poland
38,LINHARTOVA Eva,CZE,2000,1:11.58,14 June 2026,Brno,Czechia
39,LYNCH Ellie,IRL,2010,1:11.61,8 April 2026,Bangor,Ireland
40,TOGO Mayu,JPN,2012,1:11.84,29 May 2026,Fuji,Japan
41,HARSANTO Mutiara Cantik,INA,2004,1:12.06,21 January 2026,Nakhon Ratchasima,Thailand
42,DIEHL Ali,CAN,2008,1:12.14,6 July 2026,Montreal,Canada
43,CONRAD Brittany,USA,2009,1:12.18,14 June 2026,Boise,United States of America
44,UTSUGI Mikuni,JPN,2003,1:12.19,29 May 2026,Fuji,Japan
45,TORRES CLAUDIO Diana Maria,MEX,2008,1:12.23,7 May 2026,Berlin,Germany
46,GONZALEZ ARANGO Nicol Samantha,COL,2007,1:12.37,7 May 2026,Berlin,Germany
47,SUTTON Momo,USA,2007,1:12.44,14 June 2026,Boise,United States of America
48,ORELLANA Dahiana,ARG,2008,1:12.51,7 March 2026,Buenos Aires,Argentina
49,RICKERT Vivien,GER,2012,1:12.86,12 March 2026,Lignano Sabbiadoro,Italy
50,IMAMURA Natsuki,JPN,2010,1:13.02,29 May 2026,Fuji,Japan
51,WHISTON Brock,GBR,1996,1:13.56,12 March 2026,Lignano Sabbiadoro,Italy
52,CAMPBELL Millicent,AUS,2011,1:13.74,20 February 2026,Gold Coast,Australia
53,AU Lok Yi Dorothy,HKG,2007,1:13.76,19 March 2026,Barcelona,Spain
54,KOLOCZEK Malwina,POL,2011,1:13.96,1 May 2026,Paris,France
55,AZIZAH Zahra Nur,INA,2008,1:14.96,29 May 2026,Fuji,Japan
56,VERON Julie,FRA,2007,1:15.25,1 May 2026,Paris,France
57,JIMENEZ ROMERO DE AVILA Lydia,ESP,2006,1:16.09,21 February 2026,Palma de Mallorca,Spain
58,BRIMELOW Grace,AUS,2007,1:16.38,20 February 2026,Gold Coast,Australia
59,DEDIVANOVIC Iskra,MNE,2008,1:17.07,7 May 2026,Berlin,Germany
60,NAKAZIBWE Condoleeza Nyamisanga,UGA,2012,1:17.23,12 March 2026,Lignano Sabbiadoro,Italy
61,ARIAS Hanna,URU,2010,1:17.78,29 May 2026,Buenos Aires,Argentina
62,MAI Leonie,GER,2012,1:18.18,7 May 2026,Berlin,Germany
63,DILLINGER Londyn,NZL,2012,1:18.39,9 April 2026,Hastings,New Zealand
