Rank,Name,NPC,Birth,Time,Date,City,Country
1,PASCOE Sophie,NZL,1993,1:02.44,8 April 2022,Auckland,New Zealand
2,LEARY Alexa,AUS,2001,1:02.81,6 October 2022,Tijuana,Mexico
3,RIBEIRO Mariana,BRA,1995,1:03.04,15 June 2022,Funchal,Portugal
4,BEECROFT Emily,AUS,1999,1:03.35,15 June 2022,Funchal,Portugal
5,GASCON Sarai,ESP,1992,1:03.40,15 June 2022,Funchal,Portugal
6,SHAW Toni,GBR,2003,1:03.52,15 June 2022,Funchal,Portugal
7,MCCONNELL Ashleigh,AUS,1996,1:04.12,29 July 2022,Birmingham,Great Britain
8,PATTERSON Lakeisha,AUS,1999,1:04.14,11 April 2022,Adelaide,Australia
9,VEIGA Susana,POR,2000,1:04.19,15 June 2022,Funchal,Portugal
10,COLE Ellie,AUS,1991,1:04.21,29 July 2022,Birmingham,Great Britain
11,ASPDEN Hannah,USA,2000,1:05.08,7 April 2022,Indianapolis,United States of America
12,RALEIGH-CROSSLEY Christie,USA,1987,1:05.21,6 October 2022,Tijuana,Mexico
13,BULTJE Florianne,NED,1998,1:05.41,11 March 2022,Lignano,Italy
14,RODRIGUES FERREIRA CRUZ Camille,BRA,1992,1:05.69,22 September 2022,Buenos Aires,Argentina
15,SMITH Elizabeth,USA,1996,1:06.21,15 June 2022,Funchal,Portugal
16,ROXON Katarina,CAN,1993,1:06.36,15 June 2022,Funchal,Portugal
17,DMYTRIV DMYTRIV Anastasiya,ESP,2008,1:06.45,1 April 2022,Berlin,Germany
18,SUPIOT Claire,FRA,1968,1:06.61,4 June 2022,VALENCIENNES,France
19,MECIC Emma,CRO,2007,1:06.90,2 July 2022,Helsinki,Finland
20,SCHMIT Summer,USA,2003,1:07.11,7 April 2022,Indianapolis,United States of America
21,MARQUES SOTO Nuria,ESP,1999,1:07.62,20 March 2022,Cadiz,Spain
22,PAULI Agathe,FRA,2003,1:07.86,11 March 2022,Lignano,Italy
23,KLIACHKINA Elena,RPC,2005,1:08.44,6 October 2022,Sochi,Russia
24,GODOY SOTO Kiara Pollet,CHI,2002,1:08.61,7 April 2022,Indianapolis,United States of America
25,CANDELA BONETE Maria,ESP,2003,1:08.64,3 July 2022,Oviedo,Spain
26,KNOTT Keegan,USA,2005,1:10.20,7 April 2022,Indianapolis,United States of America
27,ZUDAIRE BORREZO Nahia,ESP,2004,1:10.39,20 March 2022,Cadiz,Spain
28,SILVA Emyly,BRA,1999,1:10.56,31 March 2022,Sao Paulo,Brazil
29,WHISTON Brock,GBR,1996,1:10.69,25 July 2022,Sheffield,Great Britain
30,SHERIDAN Amy,IRL,2004,1:10.93,21 April 2022,Dublin,Ireland
31,OCHTERA Aleksandra,POL,2004,1:10.94,4 November 2022,Szczecin,Poland
32,PROCHASKA Cali,USA,2002,1:11.13,6 October 2022,Tijuana,Mexico
33,LERIDA MALDONADO Beatriz,ESP,2005,1:11.16,20 March 2022,Cadiz,Spain
34,HIDALGO MU Itzel Fernanda,MEX,1999,1:11.39,6 October 2022,Tijuana,Mexico
35,BADROV Marija,CRO,2008,1:11.47,6 March 2022,Zagreb,Croatia
36,PAYER Kata,HUN,2005,1:11.59,1 April 2022,Berlin,Germany
37,RICHARDS Poppy,AUS,2004,1:11.86,18 February 2022,Melbourne,Australia
38,FUKUDA Kanon,JPN,2006,1:12.17,6 March 2022,Shizuoka,Japan
39,CHAVEZ GARCIA Carmen Paola,MEX,1998,1:12.36,7 April 2022,Indianapolis,United States of America
40,WITT Camilla Bitz,DEN,2003,1:12.54,2 July 2022,Helsinki,Finland
41,MORLEY Elise,USA,2000,1:12.78,7 April 2022,Indianapolis,United States of America
42,HAASE Camila,CRC,2000,1:12.92,6 October 2022,Tijuana,Mexico
43,URATA Manami,JPN,2003,1:12.95,18 September 2022,Yokohama,Japan
44,ISHIHARA Marin,JPN,2002,1:13.10,12 November 2022,Nagano,Japan
45,DUARTE CALDERON Maira Alejandra,COL,2004,1:13.35,17 September 2022,Cali,Colombia
46,PELLIS Suzie,NED,2007,1:13.83,9 April 2022,Eindhoven,Netherlands
47,PINTO Renata,POR,1999,1:14.19,17 December 2022,Rio Mario,Portugal
48,MARTINS MACHADO Catarina,BRA,2004,1:14.20,31 March 2022,Sao Paulo,Brazil
49,UTSUGI Mikuni,JPN,2003,1:14.48,6 March 2022,Shizuoka,Japan
50,SLOAN Hannah,USA,2001,1:14.52,7 May 2022,Cincinnati,United States of America
51,MAEDA Ema,JPN,2007,1:14.54,12 November 2022,Nagano,Japan
52,GKOULI Efthymia,GRE,1996,1:14.58,1 April 2022,Berlin,Germany
53,LAZARIDOU Marina Nikoleta,GRE,2005,1:15.31,16 April 2022,Athens,Greece
54,KOMKAEW Surerut,THA,1985,1:15.67,1 April 2022,Berlin,Germany
55,WHITE Mei,USA,2004,1:17.32,18 December 2022,Charlotte,United States of America
56,GONZALEZ GONZALEZ Ximena,MEX,2006,1:18.28,6 October 2022,Tijuana,Mexico
57,KUKUNDAKWE Husnah,UGA,2007,1:18.59,11 March 2022,Lignano,Italy
58,MAGLIANO Maria Olga,ITA,2004,1:19.51,9 July 2022,Naples,Italy
59,TAR Reka,HUN,2004,1:19.52,1 April 2022,Berlin,Germany
60,DO AMARAL PETZOLD Mayara,BRA,2002,1:20.29,31 March 2022,Sao Paulo,Brazil
61,NEIMAN LEAL Francisca,CHI,2003,1:20.74,6 October 2022,Tijuana,Mexico
62,PIEC Alicja,POL,2007,1:21.69,2 July 2022,Helsinki,Finland
63,ISMAIL LLANQUINAO Cheila Andrea,CHI,1999,1:21.93,6 October 2022,Tijuana,Mexico
64,HIXSON Julia,USA,2005,1:22.36,7 April 2022,Indianapolis,United States of America
65,ARIAS Hanna,URU,2010,1:24.17,6 October 2022,Tijuana,Mexico
66,CHAIWONG Prakaithip,THA,2004,1:24.68,18 February 2022,Melbourne,Australia
67,SPINDOROVA Lea,SVK,2006,1:27.58,11 December 2022,Zagreb,Croatia
68,JERICEVIC Vita,CRO,2007,1:28.95,10 July 2022,Zagreb,Croatia
69,CASTRUITA PINA Monserrath,MEX,2004,1:29.51,6 October 2022,Tijuana,Mexico
70,NAKADE Shashruti Vinayak,IND,2004,1:33.53,12 November 2022,"GUWAHATI, ASSAM, INDIA",India
71,TAK Kiran,IND,1981,1:34.27,25 March 2022,"Udaipur, India",India
72,MACOVA Veronika,CZE,1997,1:35.27,4 November 2022,Szczecin,Poland
73,JELEC Leona,CRO,2007,1:37.64,10 July 2022,Zagreb,Croatia
74,DEDIVANOVIC Iskra,MNE,2008,1:43.78,2 July 2022,Helsinki,Finland
75,SRICHANPLIW Mesa,THA,2007,1:49.08,18 February 2022,Melbourne,Australia
