Rank,Name,NPC,Birth,Time,Date,City,Country
1,KRUGER Lisa,NED,2000,0:27.63,16 December 2022,The Hague,Netherlands
2,ZIJDERVELD Chantalle,NED,2000,0:27.93,16 December 2022,The Hague,Netherlands
3,HUNSICKER Arianna,CAN,2003,0:28.09,26 November 2022,Quebec City,Canada
4,SCORTECHINI Alessia,ITA,1997,0:28.46,26 November 2022,Fabriano (AN),Italy
5,PIERRE Emeline,FRA,1999,0:28.92,10 December 2022,ANGERS,France
6,RAJAHALME Jenna,FIN,2002,0:28.96,10 December 2022,Bergen,Norway
7,KAUL Susannah,EST,1999,0:29.59,26 November 2022,Vila Real de Santo Antoni,Portugal
8,LORANDI Elodie,FRA,1989,0:30.47,10 December 2022,ANGERS,France
9,ROULET Anaelle,FRA,1996,0:30.49,10 December 2022,ANGERS,France
10,KVIST Freja,DEN,2006,0:31.35,10 December 2022,Bergen,Norway
11,LEHR Letizia-Lee,GER,2005,0:32.53,20 November 2022,Düsseldorf,Germany
12,PALAZZETTI Daniela,ITA,1996,0:32.84,26 November 2022,Fabriano (AN),Italy
13,CIKA Adlin,ITA,2008,0:33.86,13 November 2022,Lodi,Italy
14,WECKSTROM Ronja,FIN,2005,0:38.28,10 December 2022,Bergen,Norway
15,KAZLAUSKYTE Ieva,LTU,2009,0:39.03,26 November 2022,Vila Real de Santo Antoni,Portugal
