Rank,Name,NPC,Birth,Time,Date,City,Country
1,BARLAAM Simone,ITA,2000,0:23.90,2 September 2024,Paris,France
2,SHEVTSOV Serhii,UKR,1998,0:24.63,15 March 2024,Lignano Sabbiadoro,Italy
3,TARASOV Denis,NPA,1993,0:25.15,2 September 2024,Paris,France
4,HILL Jamal,USA,1995,0:25.25,15 March 2024,Lignano Sabbiadoro,Italy
5,SOLBERG Fredrik,NOR,2001,0:25.26,2 September 2024,Paris,France
6,XIE Zhili,CHN,2005,0:25.39,22 March 2024,Beijing,China
7=,MOZGOVOI Bogdan,NPA,2000,0:25.73,27 April 2024,Funchal,Portugal
7=,VASYLENKO Dmytro,UKR,1991,0:25.73,2 September 2024,Paris,France
9,BOZHYNSKYI Yurii,UKR,1992,0:25.97,27 April 2024,Funchal,Portugal
10,SCHRENCK MARTINEZ Ariel Enrique,ESP,2001,0:26.01,2 September 2024,Paris,France
11,CIULLI Simone,ITA,1986,0:26.04,21 June 2024,Rome,Italy
12,POPHAM Ben,AUS,2000,0:26.11,11 June 2024,Brisbane,Australia
13,DIDIER Ugo,FRA,2001,0:26.20,2 September 2024,Paris,France
14,MARI ALCARAZ Jose Antonio,ESP,1988,0:26.28,10 February 2024,Barcelona,Spain
15,WULZER Tommaso,ITA,2007,0:26.33,21 June 2024,Rome,Italy
16,DENAYER Hector,FRA,2005,0:26.41,8 June 2024,Limoges,France
17,SHCHALKANAU Yahor,NPA,2001,0:26.45,2 September 2024,Paris,France
18,FILHO Vanilton,BRA,1993,0:26.49,3 May 2024,São Paulo,Brazil
19,LEIVA Joaquin,ARG,2006,0:26.52,24 November 2024,Guadalajara,Mexico
20,BRAUNSCHWEIG Malte,GER,2000,0:26.56,1 June 2024,Berlin,Germany
21,ZARIF POURESMAEILYAZDI Abolfazl,IRI,2007,0:26.57,2 May 2024,Tehran,Iran
22,NAVARRO-BARBER Tomas,GBR,2004,0:26.61,6 April 2024,London,Great Britain
23,HODGE Timothy,AUS,2001,0:26.66,16 March 2024,Sydney,Australia
24,OKAJIMA Kanta,JPN,2004,0:26.85,10 November 2024,Kusatsu,Japan
25,HORODIANYN Eduard,UKR,2005,0:26.96,16 May 2024,Poltava,Ukraine
26,DE JAEGER Anton,BEL,1996,0:27.02,1 December 2024,Rotterdam,Netherlands
27,VIG Harrison,AUS,2002,0:27.09,17 December 2024,Brisbane,Australia
28,RIBEIRO WOYCZAK MADEIRA Andrey,BRA,2004,0:27.21,3 May 2024,São Paulo,Brazil
29,BUSCH Noah,USA,2009,0:27.28,15 March 2024,Lignano Sabbiadoro,Italy
30,KOJO Ruka,JPN,2007,0:27.31,10 November 2024,Kusatsu,Japan
31=,ECKART Yannick,GER,2003,0:27.38,4 February 2024,Aberdeen,Great Britain
31=,ESCANILLA CANDIAL Jian Wang,ESP,2007,0:27.38,1 June 2024,Berlin,Germany
33,GARRIDO BRUN Jacobo,ESP,2002,0:27.39,4 February 2024,Aberdeen,Great Britain
34,KAWABUCHI Taiyo,JPN,2008,0:27.45,17 December 2024,Brisbane,Australia
35,CHATZIDIS Aristeidis,GRE,2005,0:27.53,1 June 2024,Berlin,Germany
36,KESNAR Jonas,CZE,2001,0:27.64,22 June 2024,Brno,Czechia
37,HREHOROWICZ Igor,POL,2002,0:27.67,15 March 2024,Lignano Sabbiadoro,Italy
38,GONCALVES SILVA Ruiter Antonio,BRA,1992,0:27.70,3 May 2024,São Paulo,Brazil
39,LLAMAS RIOS Diego Jair,MEX,2003,0:27.71,24 November 2024,Guadalajara,Mexico
40,BISHOP Lewis,AUS,2005,0:27.72,24 February 2024,Melbourne,Australia
41,TANDAZO Erick,ECU,2003,0:27.89,1 June 2024,Berlin,Germany
42,WETEKAM Maurice,GER,2006,0:27.90,1 June 2024,Berlin,Germany
43,JALBY Nolan,FRA,2005,0:27.95,24 March 2024,AIX EN PROVENCE,France
44,MORLACCHI Federico,ITA,1993,0:28.00,15 March 2024,Lignano Sabbiadoro,Italy
