Rank,Name,NPC,Birth,Time,Date,City,Country
1,ELLARD William,GBR,2006,0:50.37,7 December 2024,Sheffield,Great Britain
2,HILLHOUSE Alexander,DEN,2004,0:51.77,2 December 2024,Vejle,Denmark
3,STEWART Harry,GBR,2004,0:53.30,7 December 2024,Sheffield,Great Britain
4,BROOM Dylan,GBR,2002,0:53.70,16 November 2024,Sheffield,Great Britain
5,TOMPSETT Mark,GBR,2006,0:54.48,7 December 2024,Sheffield,Great Britain
6,AGOSTO Alessandro,ITA,2003,0:55.08,24 November 2024,Livorno,Italy
7,GOULD Samuel,AUS,2005,0:55.33,10 August 2024,Brisbane,Australia
8,MCMANUS Nathan,GBR,2007,0:56.82,23 November 2024,Sandwell,Great Britain
9,FUELLGRAF Julian Jeremy,GER,2005,0:57.29,17 November 2024,Düsseldorf,Germany
10,LEIB Richard,EST,2004,0:57.57,2 December 2024,Vejle,Denmark
11,MILNE Jack,GBR,2001,0:58.00,16 November 2024,Sheffield,Great Britain
12,RENTSCH Pascal Andreas,GER,2003,0:58.02,17 November 2024,Düsseldorf,Germany
13,OHASHI Kaito,JPN,1990,0:59.83,6 October 2024,Niiza,Japan
14,ROBERTS Gavin,GBR,1999,1:00.13,23 November 2024,Sandwell,Great Britain
15,KLASSON Tobias,SWE,2000,1:01.31,2 December 2024,Vejle,Denmark
16,KEIL Jason Michael,GER,2007,1:04.04,17 November 2024,Düsseldorf,Germany
17,JOHANSEN Frederik Schmidt,DEN,2002,1:06.44,2 December 2024,Vejle,Denmark
18,STEWART Bailey,AUS,2001,2:24.00,28 September 2024,Adelaide,Australia
19,SISMAN Darren,AUS,2006,9:36.00,28 September 2024,Adelaide,Australia
20,BUDD Declan,AUS,2007,14:24.00,28 September 2024,Adelaide,Australia
21,ALFORD Joshua,AUS,1995,16:48.00,28 September 2024,Adelaide,Australia
