Rank,Name,NPC,Birth,Time,Date,City,Country
1,LEARY Alexa,AUS,2001,0:59.37,11 May 2024,Sydney,Australia
2,RALEIGH-CROSSLEY Christie,USA,1987,1:00.18,4 September 2024,Paris,France
3,RIBEIRO Mariana,BRA,1995,1:02.22,4 September 2024,Paris,France
4,SIMS Natalie,USA,1997,1:02.94,4 September 2024,Paris,France
5,BEECROFT Emily,AUS,1999,1:03.36,4 September 2024,Paris,France
6,GASCON Sarai,ESP,1992,1:03.91,24 April 2024,Funchal,Portugal
7,SHAW Toni,GBR,2003,1:04.66,7 April 2024,London,Great Britain
8,MARQUES SOTO Nuria,ESP,1999,1:04.69,24 April 2024,Funchal,Portugal
9,BELANDO NICHOLSON Victoria,AUS,2008,1:04.70,24 February 2024,Melbourne,Australia
10,JIBB Mary,CAN,2006,1:04.84,26 July 2024,Toronto,Canada
11,ASPDEN Hannah,USA,2000,1:05.20,27 June 2024,Minneapolis,United States of America
12,BIANCO Vittoria,ITA,1995,1:05.29,22 June 2024,Rome,Italy
13,XU Jialing,CHN,2002,1:05.31,4 September 2024,Paris,France
14,BULTJE Florianne,NED,1998,1:05.32,24 April 2024,Funchal,Portugal
15,MECIC Emma,CRO,2007,1:05.34,24 April 2024,Funchal,Portugal
16=,DMYTRIV DMYTRIV Anastasiya,ESP,2008,1:05.47,24 April 2024,Funchal,Portugal
16=,PATTERSON Lakeisha,AUS,1999,1:05.47,4 September 2024,Paris,France
18,PAULI Agathe,FRA,2003,1:05.97,7 June 2024,Limoges,France
19,SMITH Elizabeth,USA,1996,1:05.99,27 June 2024,Minneapolis,United States of America
20,KONKOLY Zsofia,HUN,2002,1:06.23,31 May 2024,Berlin,Germany
21,RODRIGUES FERREIRA CRUZ Camille,BRA,1992,1:06.51,18 May 2024,São Paulo,Brazil
22,LE HELLEY Zia,FRA,2006,1:06.84,18 May 2024,Chalon sur Saône,France
23,WILLIS Meghan,GBR,2007,1:06.96,7 April 2024,London,Great Britain
24,KEANE Ellen,IRL,1995,1:07.26,24 February 2024,Melbourne,Australia
25,VEIGA Susana,POR,2000,1:07.46,15 December 2024,Coimbra,Portugal
26,CANDELA BONETE Maria,ESP,2003,1:07.57,24 March 2024,PALMA DE MALLORCA,Spain
27,FULLGRABE Jasmin,AUS,2005,1:07.62,20 January 2024,Adelaide,Australia
28,BORUSZEWSKA Zuzanna,POL,2005,1:07.70,23 June 2024,Łódź,Poland
29,FRANCESCOTTI Maria,USA,2007,1:07.75,14 March 2024,Lignano Sabbiadoro,Italy
30,OCHTERA Aleksandra,POL,2004,1:07.87,14 March 2024,Lignano Sabbiadoro,Italy
31,SUPIOT Claire,FRA,1968,1:07.95,24 April 2024,Funchal,Portugal
32,FUKUDA Kanon,JPN,2006,1:08.47,10 March 2024,Fuji,Japan
33,KLIACHKINA Elena,NPA,2005,1:08.50,7 June 2024,Limoges,France
34,LERIDA MALDONADO Beatriz,ESP,2005,1:09.19,17 May 2024,Singapore,Singapore
35,KNOTT Keegan,USA,2005,1:09.20,11 April 2024,Indianapolis,United States of America
36,ROXON Katarina,CAN,1993,1:09.41,16 May 2024,Toronto,Canada
37=,BADROV Marija,CRO,2008,1:09.59,14 March 2024,Lignano Sabbiadoro,Italy
37=,APAESTEGUI FARFAN Micaela,PER,2010,1:09.59,21 November 2024,Guadalajara,Mexico
39,SCHMIT Summer,USA,2003,1:09.67,14 March 2024,Lignano Sabbiadoro,Italy
40,SHERIDAN Amy,IRL,2004,1:09.82,24 May 2024,Dublin,Ireland
41,GORDIYCHUK Yuliya,ISR,1998,1:09.93,31 May 2024,Berlin,Germany
42,WITT Camilla Bitz,DEN,2003,1:10.17,31 May 2024,Berlin,Germany
43,UTSUGI Mikuni,JPN,2003,1:10.25,17 May 2024,Singapore,Singapore
44,BENN Gabriella,NZL,2003,1:10.44,24 February 2024,Melbourne,Australia
45,SORINI Margherita,ITA,2004,1:10.67,22 June 2024,Rome,Italy
46,ESPINOSA MATA Briana Naomy,MEX,2004,1:10.75,31 May 2024,Berlin,Germany
47,SILVA Emyly,BRA,1999,1:10.83,18 May 2024,São Paulo,Brazil
48,GODOY SOTO Kiara Pollet,CHI,2002,1:10.91,4 May 2024,São Paulo,Brazil
49,BRIMELOW Grace,AUS,2007,1:10.93,6 April 2024,Southport,Australia
50,MAEDA Ema,JPN,2007,1:10.95,20 December 2024,Brisbane,Australia
51,BASNAYAKE Galina,SRI,2005,1:11.26,17 May 2024,Singapore,Singapore
52,SUTTON Momo,USA,2007,1:11.37,11 April 2024,Indianapolis,United States of America
53,REINICKE Cosima Carmen Cheyenne,GER,2003,1:11.71,31 May 2024,Berlin,Germany
54,PELLIS Suzie,NED,2007,1:11.75,14 March 2024,Lignano Sabbiadoro,Italy
55,CONRAD Brittany,USA,2009,1:12.04,11 April 2024,Indianapolis,United States of America
56,ISHIHARA Marin,JPN,2002,1:12.20,4 May 2024,Yokohama,Japan
57,DIEHL Ali,CAN,2008,1:12.52,26 July 2024,Toronto,Canada
58,PROCHASKA Cali,USA,2002,1:12.66,11 May 2024,Cincinnati,United States of America
59,DUARTE CALDERON Maira Alejandra,COL,2004,1:12.77,18 October 2024,Bucaramanga,Colombia
60,HAASE Camila,CRC,2000,1:12.79,31 May 2024,Berlin,Germany
61,PAYER Kata,HUN,2005,1:12.85,31 May 2024,Berlin,Germany
62,GONZALEZ ARANGO Nicol Samantha,COL,2007,1:12.92,21 November 2024,Guadalajara,Mexico
63,MORLEY Elise,USA,2000,1:12.99,11 April 2024,Indianapolis,United States of America
64,JIMENEZ ROMERO DE AVILA Lydia,ESP,2006,1:14.28,24 March 2024,PALMA DE MALLORCA,Spain
65,BADOWSKA Nikola,POL,2007,1:14.33,23 June 2024,Łódź,Poland
66,SOLAR Luciana,ARG,2005,1:14.38,15 April 2024,Buenos Aires,Argentina
67,FREEMAN Casey,USA,2007,1:14.69,15 December 2024,Orlando,United States of America
68,ORELLANA Dahiana,ARG,2008,1:15.70,21 November 2024,Guadalajara,Mexico
69,VERON Julie,FRA,2007,1:16.91,7 June 2024,Limoges,France
70,AU Lok Yi Dorothy,HKG,2007,1:17.10,21 November 2024,Guadalajara,Mexico
71,ARIAS Hanna,URU,2010,1:17.63,15 November 2024,Buenos Aires,Argentina
72,SALINAS Ariana,PER,2008,1:17.78,21 November 2024,Guadalajara,Mexico
73,SLOAN Hannah,USA,2001,1:18.14,27 June 2024,Minneapolis,United States of America
74,WILLETT Emily,AUS,2006,1:19.69,6 April 2024,Southport,Australia
75,NAKOINZ Virginia,GER,2006,1:20.79,13 July 2024,Berlin,Germany
76,NEIMAN LEAL Francisca,CHI,2003,1:21.71,2 November 2024,Santiago,Chile
77,NAULT Tatiana,CAN,2005,1:23.90,16 February 2024,Montreal,Canada
78,ZAFAR Sumbul,CAN,1981,1:24.07,11 April 2024,Indianapolis,United States of America
79,MAGLIANO Maria Olga,ITA,2004,1:25.34,17 March 2024,Lignano Sabbiadoro,Italy
80,HIXSON Julia,USA,2005,1:28.06,11 April 2024,Indianapolis,United States of America
81,SPINDOROVA Lea,SVK,2006,1:28.29,14 March 2024,Lignano Sabbiadoro,Italy
82,CHIANG Man-Ling,TPE,2006,1:29.72,21 May 2024,Taichung,Chinese Taipei
83,BENTANCOR Shamira Luana,ARG,2005,1:30.97,21 November 2024,Guadalajara,Mexico
84,NAKADE Shashruti Vinayak,IND,2004,1:34.15,30 March 2024,Gwalior,India
85,ALDAZORO PEREIRA Maria Julia,VEN,2000,1:53.13,24 February 2024,Barquisimeto,Venezuela
