Rank,Name,NPC,Birth,Time,Date,City,Country
1,NEWMAN-BARONIUS Olivia,GBR,2006,0:57.62,7 December 2024,Sheffield,Great Britain
2,MASKILL Poppy,GBR,2005,0:57.82,7 December 2024,Sheffield,Great Britain
3,SHEFFIELD Georgia,GBR,2005,0:58.46,7 December 2024,Sheffield,Great Britain
4,FIDDES Louise,GBR,2001,0:58.78,7 December 2024,Sheffield,Great Britain
5,MCTERNAN Madeleine,AUS,2000,1:00.37,10 August 2024,Brisbane,Australia
6,CORRY Taylor,AUS,1995,1:01.12,28 September 2024,Adelaide,Australia
7,THOMPSON Kael,AUS,2007,1:03.12,10 August 2024,Brisbane,Australia
8,ATKINSON Montana,AUS,2008,1:03.23,10 August 2024,Brisbane,Australia
9,NEAVE Megan,GBR,2003,1:04.39,7 December 2024,Sheffield,Great Britain
10=,HINDS Maddison,AUS,2005,1:05.08,28 September 2024,Adelaide,Australia
10=,OXBY Siena,GBR,2007,1:05.08,7 December 2024,Sheffield,Great Britain
12,WATANABE Remi,JPN,1993,1:06.61,6 October 2024,Niiza,Japan
13,DEGUCHI Mai,JPN,1996,1:11.59,6 October 2024,Niiza,Japan
14,THRASTARDOTTIR Anna Rosa,ISL,2004,1:14.07,3 December 2024,Vejle,Denmark
