Rank,Name,NPC,Birth,Time,Date,City,Country
1,BARLAAM Simone,ITA,2000,0:24.36,11 August 2020,Rome,Italy
2,MARI ALCARAZ Jose Antonio,ESP,1988,0:26.25,5 December 2020,Castellon,Spain
3,DISKEN Timothy,AUS,1996,0:26.26,15 February 2020,Melbourne,Australia
4,BRAUNSCHWEIG Malte,GER,2000,0:26.36,17 October 2020,Berlin,Germany
5,SHCHALKANAU Yahor,BLR,2001,0:26.57,25 January 2020,Minsk,Belarus
6,MOZGOVOI Bogdan,RUS,2000,0:26.58,17 January 2020,Dzerzhinsk,Russia
7,SKALIUKH Alexander,RUS,1994,0:26.78,17 January 2020,Dzerzhinsk,Russia
8,TADIC Ilija,MNE,1999,0:26.82,25 January 2020,Split,Croatia
9,CAETANO Gino,POR,1994,0:26.83,19 December 2020,Oeiras,Portugal
10,YAMADA Takuro,JPN,1991,0:26.92,13 January 2020,Narashino,Japan
11,SCHUTTE Sven,NED,1986,0:27.04,21 August 2020,Amersfoort,Netherlands
12,CIULLI Simone,ITA,1986,0:27.07,11 August 2020,Rome,Italy
13,SCHRENCK MARTINEZ Ariel Enrique,ESP,2001,0:27.10,12 December 2020,Oviedo,Spain
14,GRACHAT David,POR,1987,0:27.15,25 January 2020,Rio Maior,Portugal
15,VAN DUUREN Tim,NED,1998,0:27.20,3 December 2020,Rotterdam,Netherlands
16,VIG Harrison,AUS,2002,0:27.36,18 December 2020,Brisbane,Australia
17,HREHOROWICZ Igor,POL,2002,0:27.37,14 November 2020,Szczecin,Poland
18,KOWALSKI Gabriel,POL,2004,0:27.59,17 October 2020,Berlin,Germany
19,SALGUERO GALISTEO Oscar,ESP,1998,0:27.62,17 October 2020,Berlin,Germany
20,HALL Brenden,AUS,1993,0:27.71,18 December 2020,Brisbane,Australia
21,TOTH Tamas,HUN,1992,0:27.87,25 January 2020,Split,Croatia
22,TUCKFIELD Alexander,AUS,2004,0:27.90,13 March 2020,Sydney,Australia
23,FICHTELMANN Felix-Ulli,GER,2001,0:28.13,17 October 2020,Berlin,Germany
24,OKAJIMA Kanta,JPN,2004,0:28.37,13 January 2020,Narashino,Japan
25,GARRIDO BRUN Jacobo,ESP,2002,0:28.44,17 October 2020,Berlin,Germany
26,DE VISSER Sam,BEL,2003,0:28.75,22 February 2020,Antwerpen,Belgium
27,ADEFISAN Oludaisi,GBR,2000,0:28.83,16 February 2020,Sheffield,Great Britain
28,GELFAND David,USA,1998,0:29.13,18 January 2020,Colorado Springs,United States of America
29,MEIXELSBERGER Tom,GER,2001,0:29.14,25 January 2020,Rio Maior,Portugal
30,WALTHER Laurin Matti,GER,2003,0:29.26,17 October 2020,Berlin,Germany
31,VACHON Philippe,CAN,1995,0:29.33,18 January 2020,Colorado Springs,United States of America
32,LISENKOV Konstantin,RUS,1989,0:29.44,17 January 2020,Dzerzhinsk,Russia
33,AMODEO Alberto,ITA,2000,0:29.48,11 August 2020,Rome,Italy
34,WOLPERT Ron,ISR,2003,0:29.87,7 February 2020,Nethanya,Israel
35,PLEMENCIC Luka,CRO,2000,0:30.28,25 January 2020,Split,Croatia
36,EDWARDS Ieuan,NZL,2002,0:30.57,25 January 2020,Dunedin,New Zealand
37,CENTURION Elian,ARG,2003,0:30.78,16 December 2020,Buenos Aires,Argentina
38,DARAIO Axel Manuel,ARG,1999,0:31.20,13 March 2020,Buenos Aires,Argentina
39,PANTAZIDIS Tilemachos,GRE,2004,0:31.21,17 January 2020,Thessaloniki,Greece
40,ORTEGA BOLANOS Irving Jonathan,MEX,1997,0:33.59,14 March 2020,CANCUN,Mexico
41,BUITIAN SANTIAGO Angel,MEX,1991,0:33.63,14 March 2020,CANCUN,Mexico
42,KRAJNOVIC Jan,CRO,2002,0:35.30,25 January 2020,Split,Croatia
