Rank,Name,NPC,Birth,Time,Date,City,Country
1,IRELAND Jack,AUS,1999,0:52.90,26 September 2020,Brisbane,Australia
2,SCHLUTER Liam,AUS,1999,0:54.33,26 September 2020,Brisbane,Australia
3,FOX Daniel,AUS,1991,0:54.41,26 September 2020,Brisbane,Australia
4,DYER Jarred,AUS,2000,0:57.23,27 November 2020,Brisbane,Australia
5,STEWART Bailey,AUS,2001,0:57.64,26 September 2020,Brisbane,Australia
6,BUGLER Jack,NZL,2002,0:59.56,7 October 2020,Hamilton,New Zealand
7,KLASSON Tobias,SWE,2000,0:59.68,9 February 2020,Malmö,Sweden
8,TAWHAI-HAMILTON Cuda-Lee,NZL,2003,1:14.77,7 October 2020,Hamilton,New Zealand
