Rank,Name,NPC,Birth,Time,Date,City,Country
1,MCTERNAN Madeleine,AUS,2000,1:01.41,26 September 2020,Brisbane,Australia
2,LINDBERG Pernilla,SWE,1994,1:02.11,9 February 2020,Malmö,Sweden
3,STORM Ruby,AUS,2003,1:02.80,28 November 2020,Brisbane,Australia
4,COOK Amy,AUS,1998,1:03.18,28 November 2020,Brisbane,Australia
5,LUCY Jade,AUS,1997,1:03.23,28 November 2020,Brisbane,Australia
6,JESSAMINE Victoria,AUS,2000,1:04.64,28 November 2020,Brisbane,Australia
7,GETSON Jaime-Lee,AUS,1999,1:05.07,28 November 2020,Brisbane,Australia
8,NEAVE Megan,GBR,2003,1:05.70,15 March 2020,Sunderland,Great Britain
9,SHEFFIELD Georgia,GBR,2005,1:06.00,15 March 2020,Sunderland,Great Britain
10,FOX Jane,NZL,1999,1:12.61,7 October 2020,Hamilton,New Zealand
