Rank,Name,NPC,Birth,Time,Date,City,Country
1,TERZI Giulia,ITA,1995,1:11.34,12 August 2020,Rome,Italy
2,COAN McKenzie,USA,1996,1:12.07,18 January 2020,Colorado Springs,United States of America
3,WEGGEMANN Mallory,USA,1989,1:13.69,18 January 2020,Colorado Springs,United States of America
4,GAFFNEY Julia,USA,2000,1:14.91,18 January 2020,Colorado Springs,United States of America
5,PALIAN Ani,RUS,1990,1:16.44,21 January 2020,Dzerzhinsk,Russia
6,VINCENT Isabella,AUS,2006,1:17.37,23 January 2020,Adelaide,Australia
7,BLANSHARD Tahlia,AUS,2000,1:18.70,15 March 2020,Sydney,Australia
8,THOMAS KANE Tiffany,AUS,2001,1:19.36,15 March 2020,Sydney,Australia
9,HALEVI Erel,ISR,1991,1:19.52,7 February 2020,Nethanya,Israel
10,ST CLAIR MAITLAND Nicola,SWE,2003,1:20.60,26 January 2020,Kristiansand,Norway
11,KRAMER Agnes,SWE,1998,1:20.82,26 January 2020,Kristiansand,Norway
12,SERIAKOVA Natalia,RUS,1985,1:22.15,14 February 2020,Melbourne,Australia
13,SAHIN Nil,TUR,2002,1:22.83,18 January 2020,Thessaloniki,Greece
14,NISHIDA An,JPN,1996,1:23.17,13 January 2020,Narashino,Japan
15,KOIKE Sakura,JPN,2001,1:23.74,7 November 2020,Miyagi,Japan
16,PRADA PACHON Gisell Natalia,COL,2001,1:23.88,5 March 2020,Cali,Colombia
17,WEBER-TREIBER Sabine,AUT,1979,1:24.03,26 January 2020,Split,Croatia
18,ESTRADA CHAVEZ Aitana,ESP,2004,1:24.53,12 December 2020,Oviedo,Spain
19,SOMELLERA MANDUJANO Naomi,MEX,1998,1:25.58,13 March 2020,CANCUN,Mexico
20,WOJNAROWSKA Patrycja,POL,2001,1:26.59,13 November 2020,Szczecin,Poland
21,MAKINEN Meri-Maari,FIN,1992,1:27.53,26 January 2020,Kristiansand,Norway
22,VENS Hannelore,BEL,1990,1:29.28,22 February 2020,Antwerpen,Belgium
23,OMI Yuna,JPN,2005,1:29.42,7 November 2020,Miyagi,Japan
24,ANDERSSON WULF Ida,SWE,1998,1:29.52,7 March 2020,Malmoe,Sweden
25,ROLO MARICHAL Judit,ESP,1990,1:30.69,12 December 2020,Oviedo,Spain
26,WALLACE Nia,NZL,2003,1:30.71,14 February 2020,Melbourne,Australia
27,GASE Abigail,USA,2002,1:31.64,18 January 2020,Colorado Springs,United States of America
28,SHCHELOKOVA Milana,RUS,2004,1:32.94,14 February 2020,Melbourne,Australia
29,KYRIAKIDOU Maria,GRE,2003,1:34.99,18 October 2020,Athens,Greece
30,TOVIZI Michelle,CAN,2000,1:47.60,5 March 2020,Toronto,Canada
31,LUETHI Nadine,SUI,1996,2:05.10,22 February 2020,Darmstadt,Germany
