Rank,Name,NPC,Birth,Time,Date,City,Country
1,LEARY Alexa,AUS,2001,1:00.03,15 December 2023,Brisbane,Australia
2,RIBEIRO Mariana,BRA,1995,1:02.26,24 November 2023,Santiago,Chile
3,GASCON Sarai,ESP,1992,1:03.32,22 April 2023,Castellon,Spain
4,BEECROFT Emily,AUS,1999,1:03.93,19 April 2023,Southport,Australia
5,XU Jialing,CHN,2002,1:04.07,26 October 2023,Hangzhou,China
6,SHAW Toni,GBR,2003,1:04.51,16 March 2023,Sheffield,Great Britain
7,BULTJE Florianne,NED,1998,1:04.60,10 June 2023,Amersfoort,Netherlands
8,SIMS Natalie,USA,1997,1:05.32,24 November 2023,Santiago,Chile
9,PATTERSON Lakeisha,AUS,1999,1:05.56,19 April 2023,Southport,Australia
10,RODRIGUES FERREIRA CRUZ Camille,BRA,1992,1:05.89,3 August 2023,Manchester,Great Britain
11,BELANDO NICHOLSON Victoria,AUS,2008,1:05.93,15 December 2023,Brisbane,Australia
12,DMYTRIV DMYTRIV Anastasiya,ESP,2008,1:06.34,12 May 2023,Berlin,Germany
13,SMITH Elizabeth,USA,1996,1:06.38,3 August 2023,Manchester,Great Britain
14,VEIGA Susana,POR,2000,1:06.47,31 March 2023,Funchal,Portugal
15,KONKOLY Zsofia,HUN,2002,1:06.54,12 May 2023,Berlin,Germany
16,PAULI Agathe,FRA,2003,1:06.68,16 March 2023,Sheffield,Great Britain
17,ASPDEN Hannah,USA,2000,1:06.71,20 April 2023,Minneapolis,United States of America
18,MECIC Emma,CRO,2007,1:06.76,9 March 2023,Lignano Sabbiadoro,Italy
19,SUPIOT Claire,FRA,1968,1:07.17,26 May 2023,Limoges,France
20,BIANCO Vittoria,ITA,1995,1:07.30,17 December 2023,Brescia,Italy
21,CANDELA BONETE Maria,ESP,2003,1:07.38,25 June 2023,CADIZ,Spain
22,BORUSZEWSKA Zuzanna,POL,2005,1:07.50,19 November 2023,Szczecin,Poland
23,KLIACHKINA Elena,NPA,2005,1:07.98,25 June 2023,Dzerzhinsk,Russia
24,OCHTERA Aleksandra,POL,2004,1:08.13,19 November 2023,Szczecin,Poland
25,FUKUDA Kanon,JPN,2006,1:08.48,18 November 2023,Saga,Japan
26,GONZALEZ Mailyn,CHI,1999,1:08.50,24 November 2023,Santiago,Chile
27,ROXON Katarina,CAN,1993,1:08.60,3 August 2023,Manchester,Great Britain
28,FRANCESCOTTI Maria,USA,2007,1:08.73,24 November 2023,Santiago,Chile
29,GODOY SOTO Kiara Pollet,CHI,2002,1:08.79,9 March 2023,Lignano Sabbiadoro,Italy
30,KETKEAW Anchaya,THA,1998,1:09.59,26 October 2023,Hangzhou,China
31,LE HELLEY Zia,FRA,2006,1:09.82,26 May 2023,Limoges,France
32,BENN Gabriella,NZL,2003,1:10.11,4 April 2023,Auckland,New Zealand
33,KNOTT Keegan,USA,2005,1:10.35,20 April 2023,Minneapolis,United States of America
34,SHERIDAN Amy,IRL,2004,1:10.45,3 April 2023,Dublin,Ireland
35,SORINI Margherita,ITA,2004,1:10.48,24 June 2023,Roma,Italy
36,BASNAYAKE Galina,SRI,2005,1:10.61,26 October 2023,Hangzhou,China
37,BADROV Marija,CRO,2008,1:10.77,9 March 2023,Lignano Sabbiadoro,Italy
38,UTSUGI Mikuni,JPN,2003,1:10.78,26 October 2023,Hangzhou,China
39,SILVA Emyly,BRA,1999,1:11.31,29 April 2023,Sao Paulo,Brazil
40,BRIMELOW Grace,AUS,2007,1:11.36,15 December 2023,Brisbane,Australia
