Rank,Name,NPC,Birth,Time,Date,City,Country
1,BARLAAM Simone,ITA,2000,0:23.96,6 August 2023,Manchester,Great Britain
2,SOLBERG Fredrik,NOR,2001,0:25.06,6 August 2023,Manchester,Great Britain
3,HILL Jamal,USA,1995,0:25.40,15 December 2023,Orlando,United States of America
4,DIDIER Ugo,FRA,2001,0:25.79,6 August 2023,Manchester,Great Britain
5,VASYLENKO Dmytro,UKR,1991,0:26.08,6 August 2023,Manchester,Great Britain
6,TARASOV Denis,NPA,1993,0:26.09,7 July 2023,Brest,Belarus
7,SCHRENCK MARTINEZ Ariel Enrique,ESP,2001,0:26.15,11 February 2023,BARCELONA,Spain
8,CIULLI Simone,ITA,1986,0:26.19,23 June 2023,Roma,Italy
9,SHCHALKANAU Yahor,NPA,2001,0:26.27,7 July 2023,Brest,Belarus
10,GUO Zhi,CHN,1989,0:26.40,25 October 2023,Hangzhou,China
11=,WANG Jie,CHN,1996,0:26.46,25 October 2023,Hangzhou,China
11=,ZARIF POURESMAEILYAZDI Abolfazl,IRI,2007,0:26.46,25 October 2023,Hangzhou,China
13,BRAUNSCHWEIG Malte,GER,2000,0:26.47,13 May 2023,Berlin,Germany
14,MOZGOVOI Bogdan,NPA,2000,0:26.54,7 July 2023,Brest,Belarus
15,POPHAM Ben,AUS,2000,0:26.59,18 April 2023,Southport,Australia
16,TADIC Ilija,MNE,1999,0:26.62,15 December 2023,Orlando,United States of America
17,OKAJIMA Kanta,JPN,2004,0:26.63,19 November 2023,Saga,Japan
18,BOZHYNSKYI Yurii,UKR,1992,0:26.71,7 December 2023,Kamianske,Ukraine
19=,MARI ALCARAZ Jose Antonio,ESP,1988,0:26.72,24 June 2023,CADIZ,Spain
19=,HORODIANYN Eduard,UKR,2005,0:26.72,7 December 2023,Kamianske,Ukraine
21=,HODGE Timothy,AUS,2001,0:26.76,18 February 2023,Melbourne,Australia
21=,FILHO Vanilton,BRA,1993,0:26.76,24 November 2023,Santiago,Chile
23,YAMADA Takuro,JPN,1991,0:26.80,4 March 2023,Fuji,Japan
24,SKALIUKH Alexander,NPA,1994,0:26.85,21 June 2023,Dzerzhinsk,Russia
25,DISKEN Timothy,AUS,1996,0:26.87,18 April 2023,Southport,Australia
26,NAVARRO-BARBER Tomas,GBR,2004,0:27.07,26 July 2023,Sheffield,Great Britain
27,KOWALSKI Gabriel,POL,2004,0:27.28,27 May 2023,Gorzow Wlkp.,Poland
28,RIBEIRO WOYCZAK MADEIRA Andrey,BRA,2004,0:27.32,24 November 2023,Santiago,Chile
29,BUSCH Noah,USA,2009,0:27.34,24 November 2023,Santiago,Chile
30,VIG Harrison,AUS,2002,0:27.36,12 December 2023,Brisbane,Australia
31=,GARRIDO BRUN Jacobo,ESP,2002,0:27.51,25 February 2023,Palma de Mallorca,Spain
31=,WETEKAM Maurice,GER,2006,0:27.51,13 May 2023,Berlin,Germany
33,GONCALVES SILVA Ruiter Antonio,BRA,1992,0:27.55,28 April 2023,Sao Paulo,Brazil
34,BISHOP Lewis,AUS,2005,0:27.57,18 April 2023,Southport,Australia
35,KAWABUCHI Taiyo,JPN,2008,0:27.74,12 December 2023,Brisbane,Australia
36=,FIDALGO Joao,POR,2003,0:27.78,15 April 2023,Porto,Portugal
36=,JALBY Nolan,FRA,2005,0:27.78,28 May 2023,Limoges,France
38,ECKART Yannick,GER,2003,0:27.79,9 December 2023,Zagreb,Croatia
39,ESCANILLA CANDIAL Jian Wang,ESP,2007,0:27.82,13 May 2023,Berlin,Germany
40,CHATZIDIS Aristeidis,GRE,2005,0:27.85,27 May 2023,Athens,Greece
41,COWAN Felix,CAN,2002,0:27.88,24 November 2023,Santiago,Chile
42,ROMERO VELAZQUEZ Octavio,MEX,2004,0:27.91,10 June 2023,Bogota,Colombia
43,HREHOROWICZ Igor,POL,2002,0:27.96,17 November 2023,Szczecin,Poland
44,MORLACCHI Federico,ITA,1993,0:27.97,10 March 2023,Lignano Sabbiadoro,Italy
45,MOZELA Lucas Lamente,BRA,1997,0:28.00,21 October 2023,Sao Paulo,Brazil
46,LLAMAS RIOS Diego Jair,MEX,2003,0:28.03,8 October 2023,Guadalajara,Mexico
47,ZULKARNAIN Zaki,INA,1995,0:28.04,1 May 2023,Singapore,Singapore
48,KOJO Ruka,JPN,2007,0:28.05,19 November 2023,Saga,Japan
49,CUBILLAS PARDO David,ESP,2004,0:28.06,24 June 2023,CADIZ,Spain
50,DE VISSER Sam,BEL,2003,0:28.07,13 May 2023,Berlin,Germany
51,HALL Brenden,AUS,1993,0:28.11,18 April 2023,Southport,Australia
