Rank,Name,NPC,Birth,Time,Date,City,Country
1,IRELAND Jack,AUS,1999,0:51.11,15 September 2023,Sydney,Australia
2,HILLHOUSE Alexander,DEN,2004,0:53.35,2 December 2023,Tartu,Estonia
3,SEKI Kevin,JPN,1999,0:54.56,1 October 2023,Niiza,Japan
4,DAALMAN Bram,NED,2003,0:55.33,15 December 2023,Den Haag,Netherlands
5,SISMAN Darren,AUS,2006,0:55.59,15 September 2023,Sydney,Australia
6,DYER Jarred,AUS,2000,0:56.00,15 September 2023,Sydney,Australia
7,MIYAZAKI Satoru,JPN,1992,0:56.17,1 October 2023,Niiza,Japan
8,STEWART Bailey,AUS,2001,0:56.21,12 August 2023,Brisbane,Australia
9,AGOSTO Alessandro,ITA,2003,0:56.51,12 November 2023,Lodi,Italy
10,ALFORD Joshua,AUS,1995,0:57.51,15 September 2023,Sydney,Australia
11,FUELLGRAF Julian Jeremy,GER,2005,0:59.03,18 November 2023,Düsseldorf,Germany
12,LEIB Richard,EST,2004,0:59.92,2 December 2023,Tartu,Estonia
13,KLASSON Tobias,SWE,2000,1:00.17,2 December 2023,Tartu,Estonia
14,RENTSCH Pascal Andreas,GER,2003,1:00.31,18 November 2023,Düsseldorf,Germany
15,OHASHI Kaito,JPN,1990,1:02.78,1 October 2023,Niiza,Japan
16,RONGONI Francesco,ITA,2002,1:06.30,26 November 2023,Ostia,Italy
17,JOHANSEN Frederik Schmidt,DEN,2002,1:06.84,2 December 2023,Tartu,Estonia
