Rank,Name,NPC,Birth,Time,Date,City,Country
1,POWELL Logan,AUS,1999,,21 January 2018,Sydney,Australia
2,BARLAAM Simone,ITA,2000,0:54.42,14 August 2018,Dublin,Ireland
3,DISKEN Timothy,AUS,1996,0:56.07,6 April 2018,Gold Coast,Australia
4,WHITE Lewis,GBR,2000,0:56.29,14 August 2018,Dublin,Ireland
5,MORLACCHI Federico,ITA,1993,0:56.69,14 August 2018,Dublin,Ireland
6,GONCALVES SILVA Ruiter Antonio,BRA,1992,0:57.05,19 August 2018,SAO PAULO,Brazil
7,MARI ALCARAZ Jose Antonio,ESP,1988,0:57.12,14 August 2018,Dublin,Ireland
8,FILHO Vanilton,BRA,1993,0:57.85,28 April 2018,Sao Paulo,Brazil
9,HALL Brenden,AUS,1993,0:57.90,6 April 2018,Gold Coast,Australia
10,HODGE Timothy,AUS,2001,0:57.97,28 February 2018,Gold Coast,Australia
11,YAMADA Takuro,JPN,1991,0:58.14,24 September 2018,Yokohama City,Japan
12,CAETANO Gino,POR,1994,0:58.18,14 August 2018,Dublin,Ireland
13,BRAUNSCHWEIG Malte,GER,2000,0:58.47,14 August 2018,Dublin,Ireland
14,ARBUTHNOTT Christopher,NZL,1998,0:58.62,10 August 2018,Cairns,Australia
15,GRACHAT David,POR,1987,0:58.92,14 August 2018,Dublin,Ireland
16,SCHRENCK MARTINEZ Ariel Enrique,ESP,2001,0:59.19,24 March 2018,Castellon,Spain
17,BOOTH Jonathan,GBR,1998,0:59.38,26 July 2018,Sheffield,Great Britain
18,LAHTEENMAKI Leo,FIN,1991,0:59.41,29 June 2018,Jyväskylä,Finland
19,CROUCH Ryan,GBR,1994,0:59.47,26 July 2018,Sheffield,Great Britain
20,VAN DUUREN Tim,NED,1998,0:59.53,14 August 2018,Dublin,Ireland
21=,VAN DEN END Thijs,NED,1993,0:59.67,7 April 2018,The Haque,Netherlands
21=,REYNOLDS Jesse,NZL,1996,0:59.67,24 September 2018,Yokohama City,Japan
23,HREHOROWICZ Igor,POL,2002,0:59.75,16 November 2018,Szczecin,Poland
24,DIDIER Ugo,FRA,2001,0:59.86,14 August 2018,Dublin,Ireland
25,VINCETIC Kristijan,CRO,1991,0:59.94,17 February 2018,Split,Croatia
26,MOCSARI Bence,HUN,2000,1:00.08,21 April 2018,Indianapolis,United States of America
27,SOLBERG Fredrik,NOR,2001,1:00.18,14 August 2018,Dublin,Ireland
28,MCCLEMENTS Barry,IRL,2001,1:00.34,6 April 2018,Gold Coast,Australia
29,TADIC Ilija,MNE,1999,1:00.39,8 June 2018,Berlin,Germany
30,MIQUEL HERNANDEZ Guillermo,ESP,1998,1:00.80,14 August 2018,Dublin,Ireland
31,DRUMOND OLIVIA Joao Pedro,BRA,2003,1:00.81,19 October 2018,SAO PAULO,Brazil
