Rank,Name,NPC,Birth,Time,Date,City,Country
1,WATKIN Louise,GBR,1992,0:29.47,27 November 2011,Sheffield,Great Britain
2,GREY Kate,GBR,1989,0:30.21,27 November 2011,Sheffield,Great Britain
3,CASHMORE Claire,GBR,1988,0:30.76,27 November 2011,Sheffield,Great Britain
4,STEADMAN Lauren,GBR,1992,0:30.79,13 November 2011,Sheffield,Great Britain
5,MARREN Amy,GBR,1998,0:31.23,27 November 2011,Sheffield,Great Britain
6,SCOTT Madeleine,AUS,1993,0:31.61,1 July 2011,Adelaide,Australia
7,HARPER Jessica,GBR,1994,0:31.70,27 November 2011,Sheffield,Great Britain
8,MCCONNELL Ashleigh,AUS,1996,0:31.76,1 July 2011,Adelaide,Australia
9,SMITH Lauren,GBR,1993,0:31.94,13 November 2011,Sheffield,Great Britain
10,SOBCZAK Katarzyna,POL,1994,0:32.77,6 October 2011,Warsaw,Poland
11,DOOTJES Lisa,NED,1994,0:33.31,25 June 2011,Emmen,Netherlands
12,BUCK Chloe,GBR,1997,0:34.17,27 November 2011,Sheffield,Great Britain
13,BUCK Leonie,GBR,1995,0:34.52,27 November 2011,Sheffield,Great Britain
14,GORDON Hope,GBR,1994,0:34.79,27 November 2011,Sheffield,Great Britain
15,MIKULCIC Marcela,CRO,1994,0:34.99,6 November 2011,Rijeka,Croatia
16,RICHTER Megan,GBR,2000,0:36.92,27 November 2011,Sheffield,Great Britain
17,DJUPSKAS Ingrid,NOR,1989,0:39.12,11 November 2011,Stavanger,Norway
18,MAKGAKGA Dimakatso Mmatsiane,RSA,1996,0:42.68,6 August 2011,Johannesburg,South Africa
