Rank,Name,NPC,Birth,Time,Date,City,Country
1=,PETERS Morgyn,GBR,1996,,20 December 2013,Swansea,Great Britain
1=,PHILLIPS Matthew,GBR,2000,,20 December 2013,Swansea,Great Britain
1=,WEST Ryan,GBR,1997,,20 December 2013,Swansea,Great Britain
4,COWDREY Matthew,AUS,1988,0:55.33,12 August 2013,Montreal,Canada
5,MARI ALCARAZ Jose Antonio,ESP,1988,0:56.52,12 August 2013,Montreal,Canada
6,CROTHERS Rowan,AUS,1997,0:56.66,1 May 2013,Adelaide,Australia
7,HALL Brenden,AUS,1993,0:56.88,1 May 2013,Adelaide,Australia
8,TOTH Tamas,HUN,1992,0:57.76,12 August 2013,Montreal,Canada
9,LAHTEENMAKI Leo,FIN,1991,0:58.06,7 July 2013,Jyvaskyla,Finland
10,SKALIUKH Alexander,RUS,1994,0:58.24,12 August 2013,Montreal,Canada
11,YAMADA Takuro,JPN,1991,0:58.26,10 March 2013,Fuji,Japan
12,GRACHAT David,POR,1987,0:58.27,12 August 2013,Montreal,Canada
13,FILHO Vanilton,BRA,1993,0:58.66,10 November 2013,Fortaleza,Brazil
14,GONCALVES SILVA Ruiter Antonio,BRA,1992,0:58.86,12 August 2013,Montreal,Canada
15,KALYNA Andriy,UKR,1987,0:58.98,4 May 2013,Mykolayiv,Ukraine
16,WYLIE Matthew,GBR,1996,0:59.43,3 August 2013,Sheffield,Great Britain
17,MARTYNOV Iurii,UKR,1991,0:59.51,4 May 2013,Mykolayiv,Ukraine
18,MEILINGER Csaba,HUN,1993,0:59.76,12 August 2013,Montreal,Canada
19,PROUT Michael,USA,1986,0:59.89,4 April 2013,Minneapolis,United States of America
20,SORS Tamas,HUN,1991,1:00.03,4 April 2013,Eindhoven,Netherlands
21,MORLACCHI Federico,ITA,1993,1:00.07,23 June 2013,Mersin,Türkiye
22,SAMARIN Eduard,RUS,1987,1:00.09,12 August 2013,Montreal,Canada
23,VINCETIC Kristijan,CRO,1991,1:00.47,23 June 2013,Mersin,Türkiye
24,BUREAU Cody,USA,1988,1:00.50,12 August 2013,Montreal,Canada
25,HOGGAN Stefan,GBR,1992,1:00.86,3 August 2013,Sheffield,Great Britain
26,MCGUIGAN Hayden,AUS,1996,1:01.30,14 April 2013,Adelaide,Australia
27,SILVA Matheus,BRA,1994,1:01.33,10 November 2013,Fortaleza,Brazil
28,AUPRINCE Michael,AUS,1993,1:01.44,1 May 2013,Adelaide,Australia
29,EL GUEDDARI Sami,FRA,1984,1:01.74,23 June 2013,Mersin,Türkiye
30,MAMIC Kristijan,CRO,1993,1:01.94,23 June 2013,Mersin,Türkiye
31,COX Oliver,AUS,1997,1:02.16,1 May 2013,Adelaide,Australia
32,KWON Hyun,KOR,1991,1:02.17,2 October 2013,Daegu,South Korea
33,DANIEL Stefan,CAN,1997,1:02.24,4 April 2013,Minneapolis,United States of America
34,DEMIANENKO Aleksandr,RUS,1993,1:02.53,29 May 2013,Ramenskoe,Russia
35,NOGUEIRA Victor Alan,BRA,1992,1:02.59,10 November 2013,Fortaleza,Brazil
36,WANG Jie,CHN,1996,1:02.85,28 October 2013,Kuala Lumpur,Malaysia
37,PREZZI Yuri,ITA,1994,1:02.91,25 April 2013,Sheffield,Great Britain
38,VACHON Philippe,CAN,1995,1:02.94,4 April 2013,Minneapolis,United States of America
39,GILL Robert,GBR,1995,1:03.40,26 June 2013,Sheffield,Great Britain
40,REYNOLDS Jesse,NZL,1996,1:03.46,21 March 2013,Auckland,New Zealand
41,SCHULZ Martin,GER,1990,1:03.63,23 February 2013,Darmstadt,Germany
42,TAVARES DOS SANTOS Eric,BRA,1996,1:03.99,10 November 2013,Fortaleza,Brazil
43,RODZIEWICZ Kacper,POL,1992,1:04.12,16 June 2013,Szczecin,Poland
44,MICHALENTZAKIS Dimosthenis,GRE,1998,1:04.35,15 June 2013,Athens,Greece
45,NIIN Einar,EST,1991,1:04.36,26 May 2013,Berlin,Germany
46,FONTAYNE Bastian,GER,1997,1:04.38,25 April 2013,Sheffield,Great Britain
47,MOZELA Lucas Lamente,BRA,1997,1:04.53,19 October 2013,Buenos Aires,Argentina
48,GARBE Andrey Pereira,BRA,1997,1:04.57,15 June 2013,Buenos Aires,Argentina
49,VAN DUUREN Tim,NED,1998,1:04.79,8 December 2013,Amsterdam,Netherlands
50,GRISWOLD Robert,USA,1996,1:05.06,4 April 2013,Minneapolis,United States of America
