Rank,Name,NPC,Birth,Time,Date,City,Country
1,CROTHERS Rowan,AUS,1997,0:26.27,31 August 2013,Brisbane,Australia
2,PETERS Morgyn,GBR,1996,0:27.23,24 November 2013,Sheffield,Great Britain
3,WEST Ryan,GBR,1997,0:27.24,24 November 2013,Sheffield,Great Britain
4,MCGUIGAN Hayden,AUS,1996,0:27.62,4 August 2013,Melbourne,Australia
5,WYLIE Matthew,GBR,1996,0:27.68,24 November 2013,Sheffield,Great Britain
6,CUI Yongjia,CHN,1994,0:27.84,18 September 2013,Stadskanaal,Netherlands
7,MAMIC Kristijan,CRO,1993,0:27.88,12 October 2013,Rijeka,Croatia
8,COX Oliver,AUS,1997,0:28.00,29 June 2013,Sydney,Australia
9,GILL Robert,GBR,1995,0:28.05,24 November 2013,Sheffield,Great Britain
10,HOGGAN Stefan,GBR,1992,0:28.08,24 November 2013,Sheffield,Great Britain
11,TAVARES DOS SANTOS Eric,BRA,1996,0:28.09,18 September 2013,Stadskanaal,Netherlands
12,VINCETIC Kristijan,CRO,1991,0:28.16,12 October 2013,Rijeka,Croatia
13,NIIN Einar,EST,1991,0:28.28,18 September 2013,Stadskanaal,Netherlands
14,PREZZI Yuri,ITA,1994,0:28.34,3 March 2013,Abano Terme,Italy
15,DEMIANENKO Aleksandr,RUS,1993,0:28.65,18 September 2013,Stadskanaal,Netherlands
16,REYNOLDS Jesse,NZL,1996,0:28.77,30 September 2013,Wellington,New Zealand
17,VAN DEN BERG Sjaak,NED,1984,0:28.90,1 November 2013,Dordrecht,Netherlands
18,FONTAYNE Bastian,GER,1997,0:29.37,17 November 2013,Goslar,Germany
19,KOWALEWSKI Pascal,GER,1994,0:29.53,22 September 2013,Remscheid,Germany
20=,GARBE Andrey Pereira,BRA,1997,0:29.70,18 September 2013,Stadskanaal,Netherlands
20=,WHITE Lewis,GBR,2000,0:29.70,24 November 2013,Sheffield,Great Britain
22,TADIC Ilija,MNE,1999,0:30.17,12 October 2013,Rijeka,Croatia
23,BENDER Nils,GER,1993,0:30.22,17 November 2013,Goslar,Germany
24,VAN DUUREN Tim,NED,1998,0:30.61,1 February 2013,Amsterdam,Netherlands
25,RECALCATI Marco,ITA,1994,0:31.08,3 March 2013,Abano Terme,Italy
26,TADIC Nemanja,SRB,1995,0:32.04,12 October 2013,Rijeka,Croatia
27,FLOORS Johannes,GER,1995,0:32.05,17 November 2013,Goslar,Germany
28,LIKSOR Robin,EST,1999,0:32.37,18 September 2013,Stadskanaal,Netherlands
29,GIMPELJ Jaka,SLO,1997,0:32.90,12 October 2013,Rijeka,Croatia
30,VAN DE LOGT Erik,GER,1996,0:33.95,17 November 2013,Goslar,Germany
31,SABEEH Hatem Nussrat Sabeeh,IRQ,1990,0:34.17,18 September 2013,Stadskanaal,Netherlands
32,PHILLIPS Matthew,GBR,2000,0:34.30,3 March 2013,Sheffield,Great Britain
33,SOLONENKO Igor,RUS,1996,0:34.43,18 September 2013,Stadskanaal,Netherlands
