Rank,Name,NPC,Birth,Time,Date,City,Country
1,MARREN Amy,GBR,1998,1:03.43,24 November 2013,Sheffield,Great Britain
2,CASHMORE Claire,GBR,1988,1:06.02,24 November 2013,Sheffield,Great Britain
3,STEADMAN Lauren,GBR,1992,1:06.92,8 December 2013,Sheffield,Great Britain
4,WANG Jiexin,CHN,1992,1:07.83,19 September 2013,Stadskanaal,Netherlands
5,MCCONNELL Ashleigh,AUS,1996,1:09.18,3 August 2013,Melbourne,Australia
6,BUCK Chloe,GBR,1997,1:10.05,24 November 2013,Sheffield,Great Britain
7,KISELEVA Anna,RUS,1992,1:11.10,19 September 2013,Stadskanaal,Netherlands
8,BRODIN Helene,NOR,1996,1:11.51,17 March 2013,Stavanger,Norway
9,SECCI Francesca,ITA,1990,1:11.78,2 March 2013,Abano Terme,Italy
10,HARRIS Emily,GBR,1997,1:11.96,24 November 2013,Sheffield,Great Britain
11,RICHTER Megan,GBR,2000,1:12.80,2 March 2013,Sheffield,Great Britain
12,PROSHINA Iuliia,RUS,1996,1:12.90,19 September 2013,Stadskanaal,Netherlands
13,BUTLER Ffion,GBR,1998,1:14.05,24 November 2013,Sheffield,Great Britain
14,HEGGERTVEIT Marte,NOR,1999,1:14.71,30 November 2013,Stavanger,Norway
15,GORDON Hope,GBR,1994,1:15.74,24 November 2013,Sheffield,Great Britain
16,BUCK Leonie,GBR,1995,1:17.10,2 March 2013,Sheffield,Great Britain
17,MCCABE Jay,GBR,2002,1:20.92,24 November 2013,Sheffield,Great Britain
18,DOOTJES Lisa,NED,1994,1:22.24,3 November 2013,Dordrecht,Netherlands
19,BOSECKER Julia,GER,1998,1:22.91,16 November 2013,Goslar,Germany
20,FRANKS Rebecca,GBR,1997,1:23.95,2 March 2013,Sheffield,Great Britain
21,CASTRO Ana,POR,1997,1:27.08,12 January 2013,Santa Maria da Feira,Portugal
22,HANSON Levana,GBR,2000,1:32.71,2 March 2013,Sheffield,Great Britain
