Rank,Name,NPC,Birth,Time,Date,City,Country
1,GASCON Sarai,ESP,1992,0:29.49,23 May 2013,Berlin,Germany
2,GRAZHDANOVA Irina,RUS,1987,0:29.83,13 August 2013,Montreal,Canada
3,LIN Ping,CHN,1994,0:29.84,13 August 2013,Montreal,Canada
4,MARREN Amy,GBR,1998,0:30.06,28 April 2013,Sheffield,Great Britain
5,COLE Ellie,AUS,1991,0:30.26,15 March 2013,Sydney,Australia
6,WILLIAMS Annabelle,AUS,1988,0:30.38,27 April 2013,Adelaide,Australia
7,CASHMORE Claire,GBR,1988,0:30.56,13 August 2013,Montreal,Canada
8,VIVANCO Eztitxu,FRA,1993,0:30.79,8 June 2013,Hyeres,France
9,MILLWARD Stephanie,GBR,1981,0:30.81,21 December 2013,Swansea,Great Britain
10,KEANE Ellen,IRL,1995,0:31.03,13 August 2013,Montreal,Canada
11,GIMENEZ Daniela,ARG,1992,0:31.07,13 August 2013,Montreal,Canada
12,RODRIGUES FERREIRA CRUZ Camille,BRA,1992,0:31.13,14 September 2013,"Porto Alegre, RS",Brazil
13,SMITH Elizabeth,USA,1996,0:31.18,5 April 2013,Minneapolis,United States of America
14,MCCONNELL Ashleigh,AUS,1996,0:31.22,27 April 2013,Adelaide,Australia
15,ICHINOSE Mei,JPN,1997,0:31.44,14 July 2013,"Kadoma City, Osaka",Japan
16,ROXON Katarina,CAN,1993,0:31.63,13 August 2013,Montreal,Canada
17,KUKANOVA Valeriia,RUS,1995,0:31.65,26 May 2013,Ramenskoe,Russia
18,MARQUES SOTO Nuria,ESP,1999,0:32.03,10 March 2013,San Sebastian,Spain
19=,MORISHITA Yuki,JPN,1996,0:32.12,10 March 2013,Fuji,Japan
19=,GROGAN Lindsay,USA,1987,0:32.12,5 April 2013,Minneapolis,United States of America
21,GRAY Emily,RSA,1991,0:32.71,20 April 2013,Port Elizabeth,South Africa
22,KERLEY April,USA,1978,0:32.85,11 May 2013,Cincinnati,United States of America
23,ASPDEN Hannah,USA,2000,0:32.87,5 April 2013,Minneapolis,United States of America
24,JOHANNES Anna,USA,1993,0:32.96,22 June 2013,Colorado Springs,United States of America
25,GKOULI Efthymia,GRE,1996,0:33.09,14 June 2013,Athens,Greece
26,BUCK Chloe,GBR,1997,0:33.37,31 July 2013,Sheffield,Great Britain
27,SOBCZAK Katarzyna,POL,1994,0:33.39,16 June 2013,Szczecin,Poland
28,RICHTER Megan,GBR,2000,0:33.53,29 June 2013,Sheffield,Great Britain
29,SMITH Lauren,GBR,1993,0:33.64,23 February 2013,Sheffield,Great Britain
30,PROSHINA Iuliia,RUS,1996,0:33.93,26 May 2013,Ramenskoe,Russia
31,BAUMANN Stephanie,SUI,1991,0:34.01,23 May 2013,Berlin,Germany
