Rank,Name,NPC,Birth,Time,Date,City,Country
1,DU TOIT Natalie,RSA,1984,1:02.42,25 May 2009,Manchester,Great Britain
2,MILLWARD Stephanie,GBR,1981,1:03.18,25 May 2009,Manchester,Great Britain
3,WATKIN Louise,GBR,1992,1:03.25,29 July 2009,Sheffield,Great Britain
4,GASCON Sarai,ESP,1992,1:04.87,24 October 2009,Reykjavik,Iceland
5,GRAL Emilie,FRA,1986,1:05.98,1 July 2009,Pescara,Italy
6,COLE Ellie,AUS,1991,1:06.08,30 May 2009,Berlin,Germany
7,GRAZHDANOVA Irina,RUS,1987,1:06.11,24 October 2009,Reykjavik,Iceland
8,STEADMAN Lauren,GBR,1992,1:06.33,25 May 2009,Manchester,Great Britain
9,STONE Elizabeth,USA,1990,1:07.24,31 July 2009,Edmonton,Canada
10,SALES Darda,CAN,1982,1:07.60,31 July 2009,Edmonton,Canada
11,CASHMORE Claire,GBR,1988,1:07.65,20 March 2009,"Ponds Forge, Sheffield",Great Britain
12,KERLEY April,USA,1978,1:07.75,15 August 2009,Rio de Janeiro,Brazil
13,GREY Kate,GBR,1989,1:08.89,20 March 2009,"Ponds Forge, Sheffield",Great Britain
14,MILOJEVIC Sanja,CRO,1991,1:08.96,24 October 2009,Reykjavik,Iceland
15,CAI Yuqingyan,CHN,1995,1:08.98,27 November 2009,Bangalore,India
16,VIVANCO Eztitxu,FRA,1993,1:09.05,24 October 2009,Reykjavik,Iceland
17,SECCI Francesca,ITA,1990,1:09.27,24 October 2009,Reykjavik,Iceland
18,GRAY Emily,RSA,1991,1:09.59,18 April 2009,Durban,South Africa
19,BAO Yanfen,CHN,1991,1:09.63,27 November 2009,Bangalore,India
20,SIMPKIN Elizabeth,GBR,1994,1:09.75,25 May 2009,Manchester,Great Britain
21,LASSEN Maria,DEN,1994,1:09.94,7 March 2009,Esbjerg,Denmark
22,WHEELER Sally,AUS,1993,1:10.25,20 March 2009,Sydney,Australia
23,DRENNAN Amanda,AUS,1988,1:10.37,14 December 2009,Brisbane,Australia
24,SMITH Lauren,GBR,1993,1:10.47,13 December 2009,Swansea,Great Britain
25,GIMENEZ Daniela,ARG,1992,1:10.48,15 August 2009,Rio de Janeiro,Brazil
26,TARJANYI Judit,HUN,1991,1:10.79,24 October 2009,Reykjavik,Iceland
27,REPPE Christiane,GER,1987,1:11.22,6 March 2009,Esbjerg,Denmark
28,GRAY Brittany,CAN,1990,1:12.08,21 March 2009,"Gresham, Oregon",United States of America
29,GROGAN Lindsay,USA,1987,1:12.26,16 May 2009,"Cincinnati, Ohio",United States of America
30,JOHANNES Anna,USA,1993,1:12.66,31 July 2009,Edmonton,Canada
31,BAUMANN Stephanie,SUI,1991,1:12.87,30 May 2009,Berlin,Germany
32,VAN RHIJN Marlou,NED,1991,1:13.02,24 October 2009,Reykjavik,Iceland
33,HARPER Jessica,GBR,1994,1:14.49,13 December 2009,Swansea,Great Britain
34,CRANFIELD Jo-Jo,GBR,1993,1:14.66,20 March 2009,"Ponds Forge, Sheffield",Great Britain
35,PATTERSON Nicole,AUS,1983,1:14.79,20 March 2009,Sydney,Australia
36,CALADO Joana,POR,1992,1:15.42,27 June 2009,"Cadiz, Spain",Spain
37,KULDOVA Katerina,CZE,1994,1:15.43,30 May 2009,Berlin,Germany
38,HAUGEN Linn,NOR,1987,1:15.95,24 October 2009,Reykjavik,Iceland
39,ASSMANN Jennifer,GER,1994,1:16.04,24 October 2009,Reykjavik,Iceland
40,CANTAGALLO Gabriela,BRA,1992,1:16.08,15 August 2009,Rio de Janeiro,Brazil
41,SKIENEH Jenna,CAN,1993,1:16.28,5 July 2009,Toronto,Canada
42,KOMARKOVA Katerina,CZE,1995,1:16.46,30 May 2009,Berlin,Germany
43,ALVAREZ VALDERRAMA Beatriz,ESP,1988,1:16.77,27 June 2009,"Cadiz, Spain",Spain
44,KOMKAEW Surerut,THA,1985,1:17.44,27 November 2009,Bangalore,India
45,TWERDOCHLIB Agnieszka,POL,1991,1:18.25,30 May 2009,Berlin,Germany
46,DIEPOLDOVA Tereza,CZE,1988,1:18.90,24 October 2009,Reykjavik,Iceland
47,LILJA Liisa,FIN,1992,1:19.87,30 May 2009,Berlin,Germany
48,SEILER Andrea,SUI,1990,1:19.93,30 May 2009,Berlin,Germany
