Rank,Name,NPC,Birth,Time,Date,City,Country
1,GRAZHDANOVA Irina,RUS,1987,0:28.82,3 December 2009,Rio de Janeiro,Brazil
2,WATKIN Louise,GBR,1992,0:28.86,3 December 2009,Rio de Janeiro,Brazil
3,WILLIAMS Annabelle,AUS,1988,0:28.87,3 December 2009,Rio de Janeiro,Brazil
4,GASCON Sarai,ESP,1992,0:29.15,3 December 2009,Rio de Janeiro,Brazil
5,MILLWARD Stephanie,GBR,1981,0:29.21,4 July 2009,"Newport, Wales",Great Britain
6,STEADMAN Lauren,GBR,1992,0:30.21,4 July 2009,"Newport, Wales",Great Britain
7,GRAL Emilie,FRA,1986,0:30.39,3 December 2009,Rio de Janeiro,Brazil
8,GIMENEZ Daniela,ARG,1992,0:30.54,3 December 2009,Rio de Janeiro,Brazil
9,COLE Ellie,AUS,1991,0:30.68,3 December 2009,Rio de Janeiro,Brazil
10,CASHMORE Claire,GBR,1988,0:31.12,22 November 2009,Sheffield,Great Britain
11,SIMPKIN Elizabeth,GBR,1994,0:31.81,8 March 2009,"Ponds Forge, Sheffield",Great Britain
12,GRAY Emily,RSA,1991,0:32.09,8 August 2009,Pietermaritzburg,South Africa
13,SMITH Lauren,GBR,1993,0:32.17,22 November 2009,Sheffield,Great Britain
14,WOZNIAK Paulina,POL,1992,0:32.31,3 December 2009,Rio de Janeiro,Brazil
15,BAUMANN Stephanie,SUI,1991,0:33.30,26 September 2009,Nottwil,Switzerland
16,HARPER Jessica,GBR,1994,0:33.43,22 November 2009,Sheffield,Great Britain
17,CRANFIELD Jo-Jo,GBR,1993,0:33.50,4 July 2009,"Newport, Wales",Great Britain
18,CANTAGALLO Gabriela,BRA,1992,0:33.97,13 September 2009,Fortaleza,Brazil
19,CALADO Joana,POR,1992,0:34.87,22 March 2009,Santa Maria da Feira,Portugal
20,ASSMANN Jennifer,GER,1994,0:35.02,14 November 2009,Wuppertal,Germany
21,KOMARKOVA Katerina,CZE,1995,0:35.19,3 December 2009,Rio de Janeiro,Brazil
22,SEILER Andrea,SUI,1990,0:35.60,26 September 2009,Nottwil,Switzerland
23,NOONAN Erica,CAN,1990,0:36.33,28 August 2009,Charlottetown,Canada
24,BUCK Leonie,GBR,1995,0:37.26,22 November 2009,Sheffield,Great Britain
25,PASAY Kennedy,CAN,1997,0:37.99,28 August 2009,Charlottetown,Canada
26,ROBERTS Bethan,GBR,1995,0:38.69,4 July 2009,"Newport, Wales",Great Britain
27,HARRIS Emily,GBR,1997,0:39.03,22 November 2009,Sheffield,Great Britain
28,BUCK Chloe,GBR,1997,0:39.44,22 November 2009,Sheffield,Great Britain
29,BELLARS Laura,GBR,1988,0:40.36,4 July 2009,"Newport, Wales",Great Britain
30,DA SILVA NEVES EUZEBIO Joana Maria Jaciara,BRA,1987,0:40.81,13 September 2009,Fortaleza,Brazil
31,LEWIS Samm,GBR,1992,0:45.77,22 November 2009,Sheffield,Great Britain
32,FRANKS Rebecca,GBR,1997,0:47.84,22 November 2009,Sheffield,Great Britain
