Rank,Name,NPC,Birth,Time,Date,City,Country
1,COWDREY Matthew,AUS,1988,0:53.75,5 December 2009,Rio de Janeiro,Brazil
2,SORS Tamas,HUN,1991,0:55.82,5 December 2009,Rio de Janeiro,Brazil
3,COLLADO Jesus,ESP,1979,0:56.25,5 December 2009,Rio de Janeiro,Brazil
4,GRACHAT David,POR,1987,0:56.93,21 March 2009,Santa Maria da Feira,Portugal
5,YAMADA Takuro,JPN,1991,0:57.15,5 December 2009,Rio de Janeiro,Brazil
6,HALL Brenden,AUS,1993,0:57.26,5 December 2009,Rio de Janeiro,Brazil
7,BRASIL Mauro,BRA,1981,0:58.23,5 December 2009,Rio de Janeiro,Brazil
8,VINCETIC Kristijan,CRO,1991,0:58.28,5 December 2009,Rio de Janeiro,Brazil
9,MILLER Simon,GBR,1986,0:58.59,5 July 2009,"Newport, Wales",Great Britain
10,HILL David,GBR,1989,0:59.04,22 November 2009,Sheffield,Great Britain
11,RODZIEWICZ Kacper,POL,1992,0:59.44,5 December 2009,Rio de Janeiro,Brazil
12,MARTENS Jonas,BEL,1983,0:59.48,5 December 2009,Rio de Janeiro,Brazil
13,ROSATTI Juan Pablo,ARG,1983,1:01.03,5 December 2009,Rio de Janeiro,Brazil
14,MAMIC Kristijan,CRO,1993,1:01.58,5 December 2009,Rio de Janeiro,Brazil
15,KAYE Samuel,GBR,1991,1:01.62,7 March 2009,"Ponds Forge, Sheffield",Great Britain
16,LAWSON Callum,GBR,1986,1:01.85,5 July 2009,"Newport, Wales",Great Britain
17=,PETERS Morgyn,GBR,1996,1:02.58,22 November 2009,Sheffield,Great Britain
17=,VAN DEN END Thijs,NED,1993,1:02.58,20 December 2009,Amsterdam,Netherlands
19,NIIN Einar,EST,1991,1:02.68,5 December 2009,Rio de Janeiro,Brazil
20,MACHADO Fabiano,BRA,1975,1:03.63,12 September 2009,Fortaleza,Brazil
21,BUCHTA Roman,SVK,1997,1:04.81,5 December 2009,Rio de Janeiro,Brazil
22,IZSOF Gabriel,SVK,1987,1:05.04,5 December 2009,Rio de Janeiro,Brazil
23=,MCALLISTER Zack,CAN,1993,1:05.74,25 August 2009,Charlottetown,Canada
23=,GILL Robert,GBR,1995,1:05.74,22 November 2009,Sheffield,Great Britain
25,FILHO Vanilton,BRA,1993,1:07.23,12 September 2009,Fortaleza,Brazil
26,MAXIMIANO Nuno,POR,1987,1:07.94,2 May 2009,"Loures,Portugal",Portugal
27,SANTANA Gustavo,BRA,1992,1:08.50,12 September 2009,Fortaleza,Brazil
28,PULLEIRO Marco,ARG,1990,1:08.86,21 June 2009,Buenos Aires,Argentina
29,SCHWEITZER Wolf,SUI,1967,1:09.20,27 September 2009,Nottwil,Switzerland
30,HEAHER Isaac,GBR,1995,1:09.23,22 November 2009,Sheffield,Great Britain
31,SERGEANT-TSONOS Christopher,CAN,1993,1:12.15,25 August 2009,Charlottetown,Canada
32,BENDLE Adam,GBR,1990,1:13.19,22 November 2009,Sheffield,Great Britain
33,WYLIE Matthew,GBR,1996,1:14.74,22 November 2009,Sheffield,Great Britain
