Rank,Name,NPC,Birth,Time,Date,City,Country
1,COWDREY Matthew,AUS,1988,0:25.68,20 March 2009,Sydney,Australia
2,SORS Tamas,HUN,1991,0:26.09,22 October 2009,Reykjavik,Iceland
3,MARI ALCARAZ Jose Antonio,ESP,1988,0:26.27,28 June 2009,"Cadiz, Spain",Spain
4,GRACHAT David,POR,1987,0:26.42,12 July 2009,"Coimbra, Portugal",Portugal
5,EL GUEDDARI Sami,FRA,1984,0:26.54,22 October 2009,Reykjavik,Iceland
6,SIROVATCHENKO Andriy,UKR,1987,0:26.67,22 October 2009,Reykjavik,Iceland
7,THOMSEN Christian,DEN,1990,0:27.06,22 October 2009,Reykjavik,Iceland
8,SCHULZ Martin,GER,1990,0:27.09,22 October 2009,Reykjavik,Iceland
9,BRASIL Mauro,BRA,1981,0:27.17,16 August 2009,Rio de Janeiro,Brazil
10=,KALYNA Andriy,UKR,1987,0:27.21,22 October 2009,Reykjavik,Iceland
10=,MILLER Simon,GBR,1986,0:27.21,12 December 2009,Swansea,Great Britain
12,HALL Brenden,AUS,1993,0:27.33,18 December 2009,Brisbane,Australia
13,SAMARIN Eduard,RUS,1987,0:27.38,31 May 2009,Berlin,Germany
14,YAMADA Takuro,JPN,1991,0:27.50,13 September 2009,Tokyo,Japan
15,MORLACCHI Federico,ITA,1993,0:27.57,22 October 2009,Reykjavik,Iceland
16,YASTREMSKYY Taras,UKR,1984,0:27.60,22 October 2009,Reykjavik,Iceland
17,MARTENS Jonas,BEL,1983,0:27.82,9 May 2009,Wezenberg,Belgium
18,KAYE Samuel,GBR,1991,0:27.93,16 May 2009,"Ponds Forge, Sheffield",Great Britain
19,BARR Mark,USA,1986,0:28.09,31 July 2009,Edmonton,Canada
20,MEILINGER Csaba,HUN,1993,0:28.10,22 October 2009,Reykjavik,Iceland
21,AUPRINCE Michael,AUS,1993,0:28.12,12 December 2009,Sydney,Australia
22,BALACHSAN Elad,ISR,1982,0:28.40,22 October 2009,Reykjavik,Iceland
23,LAWSON Callum,GBR,1986,0:28.43,16 May 2009,"Ponds Forge, Sheffield",Great Britain
24,ROSATTI Juan Pablo,ARG,1983,0:28.52,16 August 2009,Rio de Janeiro,Brazil
25,LAHTEENMAKI Leo,FIN,1991,0:28.58,22 October 2009,Reykjavik,Iceland
26,PROUT Michael,USA,1986,0:28.59,31 July 2009,Edmonton,Canada
27,BUREAU Cody,USA,1988,0:28.61,31 July 2009,Edmonton,Canada
28,BRAMHAM Sam,AUS,1988,0:28.69,16 January 2009,Melbourne,Australia
29,KARMAKAR Prasanta,IND,1980,0:28.91,27 November 2009,Bangalore,India
30,HILL David,GBR,1989,0:28.93,2 August 2009,Sheffield,Great Britain
31,MAMIC Kristijan,CRO,1993,0:28.95,22 October 2009,Reykjavik,Iceland
32,MACHADO Fabiano,BRA,1975,0:28.99,16 August 2009,Rio de Janeiro,Brazil
33,RODZIEWICZ Kacper,POL,1992,0:29.04,22 October 2009,Reykjavik,Iceland
34,DE PAEPE Wim,BEL,1985,0:29.11,22 October 2009,Reykjavik,Iceland
35,DIERING Michael,CAN,1990,0:29.12,31 July 2009,Edmonton,Canada
