Rank,Name,NPC,Birth,Time,Date,City,Country
113=,BYUN Seungwon,KOR,1994,1:15.57,30 October 2015,Chuncheon,South Korea
113=,MENDEZ INIGUEZ Angel Daniel,MEX,1996,1:15.57,8 November 2015,Merida,Mexico
115,TOMCZYK Dawid,POL,2001,1:16.15,5 December 2015,Szczecin,Poland
116,VICTOR Scody,MRI,1989,1:16.17,14 July 2015,Glasgow,Great Britain
117,POCHET Gilberto,CRC,1989,1:17.24,22 March 2015,"Toronto, Ont.",Canada
118,ORTEGA BOLANOS Irving Jonathan,MEX,1997,1:17.43,8 November 2015,Merida,Mexico
119,GARCIA CHAVEZ David Daniel,MEX,1996,1:17.80,8 November 2015,Merida,Mexico
120,HIERSCHE Julian,GER,2002,1:18.20,19 December 2015,Berlin,Germany
121,TORRES Andres Nicolas,ARG,1999,1:18.38,18 December 2015,Buenos Aires,Argentina
122,ADOLFSSON Marino Ingi,ISL,1996,1:18.84,5 December 2015,Szczecin,Poland
123,KUBOTA Kota,JPN,2000,1:19.25,30 September 2015,Sochi,Russia
124,DOMINGUEZ Angel Damian,ARG,1998,1:19.30,18 December 2015,Buenos Aires,Argentina
125,KRONGYUT Watcharapong,THA,1996,1:19.55,5 December 2015,Singapore,Singapore
126,REGO Agostinho,POR,1982,1:19.91,12 December 2015,Pova de Varzim,Portugal
127,BECERRA RIVERA Eduardo Alejandro,MEX,1976,1:24.50,8 November 2015,Merida,Mexico
128,KRNAVEK Jiri,CZE,1989,1:25.47,30 May 2015,Brno,Czechia
129,RAUHAUS Jan,GER,2000,1:25.80,19 September 2015,Hamm,Germany
130,OU Kong,CAM,1990,1:28.62,5 December 2015,Singapore,Singapore
131,ARGYROPOULOS Dimitrios,GRE,1974,1:36.74,17 May 2015,Athens,Greece
132,SRIENG Leap,CAM,1988,1:37.87,5 December 2015,Singapore,Singapore
133,TAYLOR David,BAR,1967,1:43.68,14 July 2015,Glasgow,Great Britain
