Rank,Name,NPC,Birth,Time,Date,City,Country,#,Sport Gender,Class
,M,1,S9,M,1970,S6,2,LUCENA SILVA Jose Rafael,1989,4
1,LARA Juan Carlos,M,1970,S6,,,,,,
2,HENRIQUEZ CARRILLO Antonio Isaac,M,1996,S5,,,,,,
3,LIBERATI Sergio,M,1995,S10,,,,,,
4,LUCENA SILVA Jose Rafael,M,1989,S9,,,,,,
23,Chile,CHI,,6:44.43,28 March 2014,Santiago,Chile,,,
,M,1,S8,M,1994,S8,2,ARAVENA Kevin,1992,4
1,SERON Alan,M,1994,S8,,,,,,
2,ARAVENA Rodrigo,M,1997,S10,,,,,,
3,MARTINEZ Milton,M,1984,S8,,,,,,
4,ARAVENA Kevin,M,1992,S8,,,,,,
