Rank,Name,NPC,Birth,Time,Date,City,Country
1,CROTHERS Rowan,AUS,1997,0:24.43,8 November 2014,Adelaide,Australia
2,COX Oliver,AUS,1997,0:26.56,8 November 2014,Adelaide,Australia
3,DISKEN Timothy,AUS,1996,0:26.58,8 November 2014,Adelaide,Australia
4,CROUCH Ryan,GBR,1994,0:27.01,22 November 2014,Manchester,Great Britain
5,PETERS Morgyn,GBR,1996,0:27.25,2 March 2014,Sheffield,Great Britain
6,GRACHAT David,POR,1987,0:27.53,30 March 2014,Santa Maria de Feira,Portugal
7,ARBUTHNOTT Christopher,NZL,1998,0:27.55,5 September 2014,Wellington,New Zealand
8,MCGUIGAN Hayden,AUS,1996,0:27.66,3 August 2014,Melbourne,Australia
9,VAN DUUREN Tim,NED,1998,0:27.82,8 November 2014,Tilburg,Netherlands
10,REYNOLDS Jesse,NZL,1996,0:28.34,5 September 2014,Wellington,New Zealand
11,WHITE Lewis,GBR,2000,0:28.52,22 November 2014,Manchester,Great Britain
12,VACHON Philippe,CAN,1995,0:28.67,21 February 2014,Gatineau,Canada
13,FONTAYNE Bastian,GER,1997,0:29.20,16 November 2014,Riesa,Germany
14,SMITH Liam,AUS,1994,0:29.21,8 November 2014,Adelaide,Australia
15,KARAS Adam,GER,2001,0:29.25,16 November 2014,Riesa,Germany
16,HOGGAN Stefan,GBR,1992,0:29.41,22 November 2014,Manchester,Great Britain
17,KOWALEWSKI Pascal,GER,1994,0:29.66,16 November 2014,Riesa,Germany
18,BENDER Nils,GER,1993,0:30.05,16 November 2014,Riesa,Germany
19,HODGE Timothy,AUS,2001,0:30.13,12 July 2014,Sydney,Australia
20,LIKSOR Robin,EST,1999,0:30.30,7 August 2014,Aylesbury,Great Britain
21,POWELL Logan,AUS,1999,0:30.42,31 August 2014,Brisbane,Australia
22,PLAMONDON Nicolas,CAN,1998,0:31.96,21 February 2014,Gatineau,Canada
23,WESTPHAL Sandro,GER,1997,0:32.31,16 November 2014,Riesa,Germany
24,PHILLIPS Matthew,GBR,2000,0:32.52,22 November 2014,Manchester,Great Britain
25,GLATZL Marco,AUT,1997,0:32.83,7 August 2014,Aylesbury,Great Britain
26,BOUFEKANE Hicham,CAN,1998,0:33.30,21 February 2014,Gatineau,Canada
27,REGO Agostinho,POR,1982,0:35.64,30 March 2014,Santa Maria de Feira,Portugal
28,RAUHAUS Jan,GER,2000,0:37.94,16 November 2014,Riesa,Germany
29,KRIZAJ Julijan Janez,SLO,2000,0:38.54,11 October 2014,Rijeka,Croatia
