Rank,Name,NPC,Birth,Time,Date,City,Country
1,DOWNIE Katherine,AUS,1996,0:28.80,8 November 2014,Adelaide,Australia
2,KRUGER Lisa,NED,2000,0:28.95,9 November 2014,Tilburg,Netherlands
3,MOLENKAMP Chantal,NED,1990,0:28.97,9 November 2014,Tilburg,Netherlands
4,TAI Alice,GBR,1999,0:29.49,22 November 2014,Manchester,Great Britain
5,OOSTERHUIS Marije,NED,1995,0:29.61,9 November 2014,Tilburg,Netherlands
6,LEE Harriet,GBR,1991,0:30.33,15 November 2014,Sheffield,Great Britain
7,MIRO Nicole,AUS,2000,0:30.70,8 November 2014,Adelaide,Australia
8=,BANCROFT Rosie,GBR,1995,0:31.44,22 November 2014,Manchester,Great Britain
8=,MULLOOLY Zara,GBR,2002,0:31.44,22 November 2014,Manchester,Great Britain
10,KEARNEY Tully,GBR,1997,0:31.80,2 March 2014,Sheffield,Great Britain
11,BELFOR Inge,NED,2001,0:32.01,9 November 2014,Tilburg,Netherlands
12,VERMARIEN Manon,NED,1997,0:32.12,9 November 2014,Tilburg,Netherlands
13,CATTLE Emma,GBR,1988,0:33.03,22 November 2014,Manchester,Great Britain
14,NEVES Teresa,POR,1998,0:33.09,30 March 2014,Santa Maria de Feira,Portugal
15,FARRELL Coral,GBR,2001,0:33.89,22 November 2014,Manchester,Great Britain
16,HAKIM Hasna,GBR,1998,0:34.15,2 March 2014,Sheffield,Great Britain
17,JOHNSTON Beth,GBR,2001,0:34.34,22 November 2014,Manchester,Great Britain
18,MERRELL Scarlett,GBR,1997,0:35.32,2 March 2014,Sheffield,Great Britain
19,REMMELG Anette,EST,2000,0:35.53,7 August 2014,Aylesbury,Great Britain
20,MIKULCIC Marcela,CRO,1994,0:36.21,11 October 2014,Rijeka,Croatia
21,MARIC Jadranka,SVK,1998,0:36.35,7 August 2014,Aylesbury,Great Britain
22,KAEWLAKKHUM Natnicha,THA,1996,0:36.98,7 August 2014,Aylesbury,Great Britain
23,OGNEVA Anastassiya,KAZ,1997,0:45.07,7 August 2014,Aylesbury,Great Britain
